command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,relative_gates/hip_mean,relative_gates/hip_max_preferred,relative_gates/action_delta,relative_gates/action_delta2,relative_gates/foot_slip,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.0,0.0,0.0,0.0,0.0,0.0,-0.003,-0.0,-0.002,0.003,0.0,0.002,0.319,0.323,2.63,8.8475,11.49,0.000258,0.000516,0.0043,0.0,0.0,-0.02,-0.002,0.02009975124224178,-0.014,0.0,-0.014,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,0,10.0,2.0,True,True,True,10.75,10.98,6.76,6.9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0,0,0,0,,,,,
0.05,0.0,0.0,0.05,0.0,0.0,0.066,0.001,-0.003,0.016,0.001,0.003,0.318,0.324,1.73,2.6275,6.71,0.003821,0.007643,0.1021,0.5795,0.7019,0.526,0.013,0.5261606218637043,-0.026,0.0,-0.026,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,1,10.0,2.0,True,True,True,2.13,2.33,2.95,3.1,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.67,0.68,0.58,0.6,23,23,23,23,True,True,,,
-0.05,0.0,0.0,-0.05,0.0,0.0,-0.044,0.001,-0.001,0.006,0.001,0.001,0.314,0.321,1.46,2.835,7.75,0.003577,0.007154,0.0842,0.5368,0.6465,-0.356,-0.005,0.35603511062815135,-0.009,0.0,-0.009,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,2,10.0,2.0,True,True,True,0.91,1.11,4.54,4.78,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.67,0.68,0.59,0.62,23,23,23,23,True,True,,,
0.15,0.0,0.0,0.15,0.0,0.0,0.179,0.001,0.0,0.029,0.001,0.0,0.321,0.327,2.66,2.6675,5.84,0.004297,0.008593,0.2401,0.7609,0.8834,1.434,0.04,1.4345577715797995,0.003,0.0,0.003,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,3,10.0,2.0,True,True,True,3.83,3.65,1.58,1.61,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.68,0.69,0.57,0.58,23,24,24,24,True,True,,,
-0.15,0.0,0.0,-0.15,0.0,0.0,-0.148,0.002,-0.002,0.002,0.002,0.002,0.31,0.319,2.18,2.9699999999999998,8.74,0.003586,0.007172,0.1867,0.4188,0.7751,-1.191,-0.023,1.1912220615821385,-0.013,0.0,-0.013,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,4,10.0,2.0,True,True,True,-0.03,0.16,5.7,6.05,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.67,0.69,0.6,0.62,31,38,30,33,True,True,,,
0.45,0.0,0.0,0.45,0.0,0.0,0.473,0.001,-0.0,0.023,0.001,0.0,0.322,0.329,4.28,2.6250000000000004,8.03,0.006982,0.013964,0.6531,0.591,1.2955,3.787,0.158,3.7902945795808534,0.0,0.0,0.0,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,5,10.0,2.0,True,True,True,5.34,5.44,-0.17,-0.11,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.66,0.66,0.55,0.56,35,37,55,61,True,True,,,
-0.45,0.0,0.0,-0.45,0.0,0.0,-0.442,0.0,0.001,0.008,0.0,0.001,0.306,0.314,3.63,3.875,11.39,0.005391,0.010782,0.5663,0.3741,1.2771,-3.56,-0.156,3.563416338291107,0.011,0.0,0.011,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,6,10.0,2.0,True,True,True,-1.27,-1.19,8.86,9.1,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.7,0.71,0.61,0.62,67,63,73,81,True,True,,,
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.106,-0.008,0.0,0.006,0.008,0.316,0.323,3.14,2.8125,11.56,0.004233,0.008466,0.1408,0.5791,0.9674,0.025,0.849,0.8493680003390757,-0.066,0.0,-0.066,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,7,10.0,2.0,True,True,True,2.83,-0.06,6.59,1.89,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.6,0.75,0.55,0.69,24,30,30,27,,True,True,,
0.0,-0.1,0.0,0.0,-0.1,0.0,0.011,-0.102,0.007,0.011,0.002,0.007,0.314,0.322,3.03,3.0549999999999997,11.6,0.004023,0.008046,0.1363,0.6155,0.8032,0.131,-0.812,0.8224992401212295,0.059,0.0,0.059,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,8,10.0,2.0,True,True,True,-0.33,3.91,1.6,7.04,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.75,0.6,0.64,0.58,22,24,24,26,,True,True,,
0.0,0.0,0.1,0.0,0.0,0.1,0.009,0.008,0.111,0.009,0.008,0.011,0.315,0.323,1.72,2.705,7.66,0.003674,0.007348,0.0609,0.53,0.6576,0.015,0.09,0.09124143795447329,0.887,0.8,0.087,0,1600,0.0,0,0,1600,0.0,0,SC_740,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-15_00-50-21_closed_loop_selective_collision_stage_a/evaluation/routed_candidates/model_740,9,10.0,2.0,True,True,True,2.47,0.59,3.29,4.47,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,0.68,0.67,0.61,0.6,23,25,23,23,,True,,True,True
