command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.5,0.0,0.0,0.5,0.0,0.0,0.511,-0.01,0.003,0.011,0.01,0.003,0.336,0.343,3.56,-7.5825,-2.35,0.010539,0.021077,0.5909,0.7145,1.3685,4.086,-0.074,4.086670038062775,0.02,0.0,0.02,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,0,10.0,2.0,True,True,True,-8.59,-5.08,-8.56,-8.1,True,True,True,True,True,True,True,True,True,True,True,True,0.69,0.72,0.48,0.58,32,41,30,30,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.402,-0.018,0.004,0.098,0.018,0.004,0.299,0.305,3.42,-12.235000000000001,-6.35,0.00664,0.013279,0.4725,0.1005,0.6305,-3.215,-0.197,3.221029959500532,0.031,0.0,0.031,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,1,10.0,2.0,True,True,True,-16.35,-13.82,-8.06,-10.71,True,True,True,True,True,True,True,True,True,True,True,True,0.74,0.73,0.78,0.66,203,67,140,63,,,
0.0,0.3,0.0,0.0,0.3,0.0,0.034,0.218,0.007,0.034,0.082,0.007,0.316,0.321,4.67,-8.6375,9.6,0.004751,0.009502,0.241,0.0703,0.9322,0.092,1.763,1.7653988217963668,0.058,0.0,0.058,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,2,10.0,2.0,False,True,False,-10.37,-12.64,-3.78,-7.76,True,False,True,True,True,True,True,True,True,True,,True,0.8,0.8,0.76,0.66,154,42,212,23,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.052,-0.257,-0.002,0.052,0.043,0.002,0.315,0.326,6.26,-9.817499999999999,4.38,0.004614,0.009229,0.2749,0.1823,1.0955,0.37,-2.07,2.1028076469330235,-0.014,0.0,-0.014,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,3,10.0,2.0,False,True,False,-12.54,-9.83,-8.08,-8.82,True,True,True,True,True,True,True,True,True,True,,True,0.66,0.76,0.59,0.62,25,134,28,85,False,,
0.0,0.0,0.5,0.0,0.0,0.5,0.03,0.009,0.436,0.03,0.009,0.064,0.299,0.31,5.6,-11.85,8.82,0.001783,0.003566,0.0618,0.0422,0.3358,-0.124,0.019,0.1254472000484666,3.485,3.998,-0.512,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,4,10.0,2.0,False,True,False,-8.78,-20.62,-15.57,-2.43,True,True,True,True,True,True,True,True,True,True,,True,0.91,0.97,0.75,0.9,60,68,39,48,,True,False
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.004,-0.022,-0.476,0.004,0.022,0.024,0.299,0.32,6.77,-11.785,11.05,0.002455,0.004909,0.0552,0.0538,0.6854,-0.014,0.138,0.13870832707519762,-3.803,-3.998,0.195,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,5,10.0,2.0,True,True,True,-24.9,-2.62,-2.13,-17.49,True,True,True,True,True,True,True,True,True,True,,True,0.95,0.89,0.93,0.91,63,74,98,31,,True,True
0.5,0.2,0.4,0.5,0.2,0.4,0.513,0.167,0.391,0.013,0.033,0.009,0.331,0.338,3.27,-7.2125,8.76,0.012138,0.024277,0.6224,0.7402,1.6624,-2.479,1.264,2.7826492772176663,3.125,3.198,-0.073,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,6,10.0,2.0,True,True,True,-10.91,-4.59,-6.8,-6.55,True,True,True,True,True,True,True,True,True,True,,True,0.65,0.57,0.49,0.59,30,30,34,36,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.41,-0.171,-0.403,0.09,0.029,0.003,0.303,0.312,4.45,-11.5825,-0.44,0.00683,0.01366,0.4988,0.1187,0.9121,0.985,1.978,2.209685271707263,-3.224,-3.198,-0.026,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,7,10.0,2.0,True,True,True,-14.64,-10.65,-9.15,-11.89,True,True,True,True,True,True,True,True,True,True,,True,0.66,0.77,0.67,0.75,69,153,75,93,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.475,-0.009,-0.042,0.025,0.009,0.042,0.332,0.341,2.66,-7.547499999999999,-1.25,0.008055,0.016109,0.5469,0.4426,0.8636,3.671,-0.916,3.783556131472084,-0.333,0.0,-0.333,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,0,10.0,2.0,True,True,True,-10.81,-5.53,-8.04,-5.81,True,True,True,True,True,True,True,True,True,True,True,True,0.71,0.67,0.61,0.58,30,29,33,28,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.428,0.009,-0.019,0.072,0.009,0.019,0.304,0.31,2.6,-9.0075,-2.99,0.006591,0.013181,0.494,0.098,0.898,-3.399,0.392,3.421529628689484,-0.153,0.0,-0.153,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,1,10.0,2.0,True,True,True,-12.72,-10.83,-6.21,-6.27,True,True,True,True,True,True,True,True,True,True,True,True,0.71,0.73,0.75,0.75,64,119,130,144,,,
