command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.0,0.0,0.0,0.0,0.0,0.0,0.001,-0.0,-0.001,0.001,0.0,0.001,0.296,0.299,1.84,-2.375,6.39,0.000375,0.00075,0.003,0.0,0.0,0.011,-0.002,0.011180339887498949,-0.005,0.0,-0.005,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,0,10.0,2.0,False,True,False,2.07,-5.35,-9.23,3.01,True,True,True,True,True,True,False,True,True,True,False,True,1.0,1.0,1.0,1.0,0,0,0,0,,,,,
0.05,0.0,0.0,0.05,0.0,0.0,0.006,-0.002,0.015,0.044,0.002,0.015,0.301,0.305,4.93,-7.0275,-1.79,0.00067,0.001341,0.0139,0.014,0.014,0.047,-0.017,0.0499799959983992,0.12,0.0,0.12,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,1,10.0,2.0,False,True,False,-7.85,-2.66,-9.02,-8.58,True,True,True,True,True,True,False,True,True,True,,,1.0,1.0,0.34,1.0,0,0,1,0,True,False,,,
-0.05,0.0,0.0,-0.05,0.0,0.0,0.006,-0.004,0.015,0.056,0.004,0.015,0.292,0.302,1.91,-5.2575,8.15,0.000463,0.000926,0.0141,0.0177,0.1543,0.053,-0.025,0.058600341295934444,0.119,0.0,0.119,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,2,10.0,2.0,False,True,False,-3.07,-3.27,-9.7,-4.99,True,True,True,True,True,True,False,True,True,True,,,0.99,1.0,0.27,0.98,16,0,1,22,True,False,,,
0.15,0.0,0.0,0.15,0.0,0.0,0.137,-0.03,-0.019,0.013,0.03,0.019,0.289,0.309,4.5,-7.5825,2.78,0.005624,0.011248,0.194,0.2265,1.8239,1.085,-0.28,1.1205467415507484,-0.15,0.0,-0.15,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,3,10.0,2.0,True,True,True,-8.85,-4.27,-7.84,-9.37,True,True,True,True,True,True,True,True,True,True,,,0.92,0.91,0.49,0.6,88,92,30,41,True,True,,,
-0.15,0.0,0.0,-0.15,0.0,0.0,-0.069,-0.024,-0.03,0.081,0.024,0.03,0.285,0.301,5.38,-9.745,-1.33,0.001387,0.002775,0.0961,0.024,0.9154,-0.561,-0.172,0.5867750846789594,-0.244,0.0,-0.244,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,4,10.0,2.0,False,True,False,-12.62,-6.88,-9.37,-10.11,True,True,True,True,True,True,False,True,True,True,,,0.92,0.89,0.96,0.81,228,34,88,68,True,True,,,
0.45,0.0,0.0,0.45,0.0,0.0,0.458,-0.013,0.006,0.008,0.013,0.006,0.329,0.333,3.19,-7.6049999999999995,-2.42,0.009719,0.019437,0.5378,0.7128,1.3217,3.666,-0.01,3.6660136388180553,0.05,0.0,0.05,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,5,10.0,2.0,True,True,True,-8.93,-5.07,-8.26,-8.16,True,True,True,True,True,True,True,True,True,True,,,0.72,0.75,0.45,0.59,30,46,28,34,True,True,,,
-0.45,0.0,0.0,-0.45,0.0,0.0,-0.362,-0.022,0.003,0.088,0.022,0.003,0.294,0.296,2.32,-12.025,-7.07,0.005492,0.010984,0.4219,0.0707,0.5148,-2.883,-0.301,2.898670384848888,0.024,0.0,0.024,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,6,10.0,2.0,False,True,False,-16.19,-13.51,-7.76,-10.64,True,True,True,True,True,True,False,True,True,True,,,0.75,0.73,0.81,0.68,320,66,162,64,True,True,,,
0.8,0.0,0.0,0.8,0.0,0.0,0.815,-0.004,-0.009,0.015,0.004,0.009,0.321,0.324,3.15,-7.8500000000000005,0.47,0.019494,0.038987,0.9147,1.0121,1.6359,6.508,-0.333,6.516513868626384,-0.069,0.0,-0.069,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,7,10.0,2.0,True,True,True,-7.03,-5.23,-10.12,-9.02,True,True,True,True,True,True,True,True,True,True,,,0.55,0.7,0.56,0.49,35,36,34,36,True,True,,,
-0.8,0.0,0.0,-0.8,0.0,0.0,-0.719,-0.008,-0.008,0.081,0.008,0.008,0.287,0.289,2.04,-13.702499999999999,-5.18,0.011343,0.022686,0.8583,0.2162,0.617,-5.746,0.226,5.750442765561623,-0.06,0.0,-0.06,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,8,10.0,2.0,False,True,False,-18.3,-18.13,-7.87,-10.51,True,True,True,True,True,True,False,True,True,True,,,0.65,0.64,0.62,0.61,119,120,80,80,True,True,,,
1.0,0.0,0.0,1.0,0.0,0.0,1.014,-0.005,-0.001,0.014,0.005,0.001,0.315,0.318,3.38,-8.235,2.09,0.02705,0.0541,1.1117,0.9848,1.7509,8.11,-0.141,8.11122561639115,-0.007,0.0,-0.007,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,9,10.0,2.0,True,True,True,-7.22,-5.26,-10.7,-9.76,True,True,True,True,True,True,True,True,True,True,,,0.55,0.66,0.54,0.51,41,44,38,41,True,True,,,
-1.0,0.0,0.0,-1.0,0.0,0.0,-0.913,-0.005,-0.011,0.087,0.005,0.011,0.281,0.284,2.5,-14.4575,-4.61,0.016287,0.032574,1.0991,0.3142,1.0585,-7.279,0.5,7.296152479218071,-0.088,0.0,-0.088,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,10,10.0,2.0,False,True,False,-19.25,-20.22,-8.26,-10.1,True,True,True,True,True,True,False,True,True,True,,,0.63,0.61,0.57,0.57,116,130,94,92,True,True,,,
0.0,0.1,0.0,0.0,0.1,0.0,0.007,0.005,-0.022,0.007,0.095,0.022,0.292,0.297,2.73,-8.575,4.97,0.00074,0.001479,0.0189,0.071,0.425,0.06,0.034,0.06896375859826667,-0.18,0.0,-0.18,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,11,10.0,2.0,False,True,False,-8.57,-11.18,-6.88,-7.67,True,False,True,True,True,True,False,True,True,True,,,1.0,0.98,0.95,0.26,0,4,14,3,,False,True,,
0.0,-0.1,0.0,0.0,-0.1,0.0,0.024,-0.036,-0.001,0.024,0.064,0.001,0.293,0.308,5.5,-6.345000000000001,11.85,0.001316,0.002632,0.064,0.0449,0.8424,0.206,-0.281,0.34842072269025565,-0.005,0.0,-0.005,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,12,10.0,2.0,True,True,True,-13.65,-4.41,-4.46,-2.86,True,True,True,True,True,True,True,True,True,True,,,0.95,0.94,0.55,0.85,26,112,10,48,,True,True,,
