command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.005,0.001,0.0,0.005,0.296,0.306,3.65,-0.05750000000000011,14.58,0.000306,0.000613,0.0096,0.0099,0.0558,-0.004,-0.001,0.00412310562561766,0.04,0.0,0.04,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,0,10.0,2.0,False,True,False,-0.11,-3.86,-5.19,8.93,True,True,True,True,True,True,True,True,True,False,False,False,0.99,1.0,1.0,1.0,16,0,0,12,,,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.479,-0.008,-0.043,0.021,0.008,0.043,0.327,0.33,2.56,-7.535,-1.24,0.008073,0.016147,0.5512,0.4295,0.8134,3.676,-1.005,3.810905535433803,-0.343,0.0,-0.343,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,1,10.0,2.0,True,True,True,-11.21,-5.64,-7.95,-5.34,True,True,True,True,True,True,True,True,True,True,,,0.7,0.65,0.64,0.58,26,26,46,28,True,True,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.439,0.0,-0.022,0.061,0.0,0.022,0.3,0.302,2.03,-9.135,-3.95,0.006067,0.012135,0.5041,0.0708,0.3642,-3.482,0.39,3.5037728236859196,-0.18,0.0,-0.18,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,2,10.0,2.0,True,True,True,-13.02,-11.58,-5.91,-6.03,True,True,True,True,True,True,True,True,True,True,,,0.71,0.72,0.76,0.74,74,51,150,156,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,-0.019,0.181,0.006,0.019,0.119,0.006,0.311,0.313,3.83,-7.290000000000001,4.06,0.003605,0.007211,0.1972,0.0491,0.4566,-0.173,1.447,1.4573050469959954,0.047,0.0,0.047,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,3,10.0,2.0,False,True,False,-8.4,-6.21,-2.99,-11.56,True,False,True,True,True,True,True,True,True,True,,,0.81,0.86,0.79,0.89,36,54,396,40,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,-0.001,-0.214,-0.03,0.001,0.086,0.03,0.316,0.318,3.59,-5.22,10.76,0.003867,0.007734,0.2368,0.0565,0.392,-0.279,-1.682,1.704982404601291,-0.243,0.0,-0.243,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,4,10.0,2.0,False,True,False,-8.11,-5.65,-7.78,0.66,True,False,True,True,True,True,True,True,True,True,,,0.76,0.79,0.84,0.83,31,203,65,165,,True,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.01,-0.024,0.458,0.01,0.024,0.042,0.294,0.315,4.57,-9.584999999999999,12.3,0.002362,0.004724,0.0642,0.0366,0.4216,0.068,0.081,0.10575916035975325,3.663,3.998,-0.334,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,5,10.0,2.0,True,True,True,-2.34,-15.73,-19.47,-0.8,True,True,True,True,True,True,True,True,True,True,,,0.84,0.95,0.94,0.89,84,62,52,136,,True,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.015,0.004,-0.452,0.015,0.004,0.048,0.301,0.315,4.09,-11.335,8.06,0.002132,0.004265,0.0566,0.0306,0.676,0.027,0.008,0.028160255680657446,-3.617,-3.998,0.381,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,6,10.0,2.0,True,True,True,-19.27,-1.3,-1.88,-22.89,True,True,True,True,True,True,True,True,True,True,,,0.97,0.9,0.78,0.93,52,116,108,70,,True,,True,True
0.5,0.2,0.4,0.5,0.2,0.4,0.459,0.159,0.341,0.041,0.041,0.059,0.325,0.329,4.47,-7.227500000000001,5.17,0.010916,0.021833,0.5377,0.5023,0.7949,-2.032,1.905,2.7853274493315863,2.728,3.198,-0.47,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,7,10.0,2.0,True,True,True,-13.13,-5.31,-6.39,-4.08,True,True,True,True,True,True,True,True,True,True,,,0.66,0.62,0.69,0.74,25,25,62,25,,True,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.442,-0.135,-0.432,0.058,0.065,0.032,0.302,0.304,3.26,-7.965,-1.31,0.006513,0.013025,0.5305,0.0822,0.804,1.349,1.626,2.1127415838194694,-3.455,-3.198,-0.257,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,8,10.0,2.0,True,True,True,-10.84,-8.93,-5.12,-6.97,True,True,True,True,True,True,True,True,True,True,,,0.69,0.77,0.65,0.8,43,404,69,239,,True,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.003,0.0,0.0,0.003,0.326,0.328,4.52,-0.9575000000000002,6.21,0.000427,0.000855,0.0023,0.0,0.0,0.004,-0.001,0.00412310562561766,-0.021,0.0,-0.021,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,0,10.0,2.0,False,True,False,5.56,-5.2,-9.24,5.05,True,True,True,True,True,True,True,True,True,True,True,False,1.0,1.0,1.0,1.0,0,0,0,0,,,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.566,-0.01,0.02,0.066,0.01,0.02,0.353,0.36,1.79,-8.434999999999999,-3.9,0.010589,0.021178,0.6794,0.6753,1.2584,4.511,0.299,4.520898362051507,0.164,0.0,0.164,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,1,10.0,2.0,False,True,False,-5.21,-7.87,-11.82,-8.84,True,True,True,True,True,True,False,True,True,True,,,0.69,0.64,0.53,0.57,40,34,35,35,True,True,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.413,-0.004,-0.001,0.087,0.004,0.001,0.33,0.334,4.35,-7.16,0.28,0.005854,0.011709,0.5015,0.4062,0.8132,-3.304,-0.124,3.3063260577263094,-0.005,0.0,-0.005,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,2,10.0,2.0,True,True,True,-6.19,-8.31,-8.78,-5.36,True,True,True,True,True,True,True,True,True,True,,,0.73,0.68,0.52,0.57,51,28,28,30,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,0.044,0.267,-0.009,0.044,0.033,0.009,0.343,0.345,6.11,-7.36,6.99,0.003779,0.007558,0.2828,0.2524,0.4352,0.451,2.116,2.163528830406473,-0.076,0.0,-0.076,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,3,10.0,2.0,True,True,True,-6.72,-10.58,-8.36,-3.78,True,True,True,True,True,True,True,True,True,True,,,0.69,0.69,0.57,0.67,28,27,25,26,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.069,-0.223,0.043,0.069,0.077,0.043,0.344,0.35,4.92,-6.235000000000001,5.3,0.00396,0.007919,0.2864,0.3416,0.8656,1.033,-1.536,1.8510497021960268,0.341,0.0,0.341,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,4,10.0,2.0,False,True,False,-9.64,-7.21,-2.94,-5.15,True,False,True,True,True,True,True,True,True,True,,,0.85,0.77,0.44,0.68,22,30,21,25,,True,False,,
0.0,0.0,0.5,0.0,0.0,0.5,0.039,-0.009,0.446,0.039,0.009,0.054,0.323,0.334,5.9,-6.6725,14.66,0.001768,0.003537,0.0766,0.1004,0.6613,-0.197,0.137,0.23995416228938393,3.569,3.998,-0.429,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,5,10.0,2.0,False,True,False,-3.19,-15.49,-11.24,3.23,True,True,True,True,True,True,True,True,True,True,,,0.83,0.97,0.61,0.66,36,26,21,24,,True,,True,False
0.0,0.0,-0.5,0.0,0.0,-0.5,0.016,0.021,-0.368,0.016,0.021,0.132,0.328,0.345,6.4,-8.907499999999999,10.64,0.001514,0.003027,0.0594,0.0449,0.4004,0.029,-0.136,0.13905754204644927,-2.942,-3.998,1.055,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,6,10.0,2.0,False,True,False,-11.82,-4.84,-4.63,-14.34,True,True,False,True,True,True,True,True,True,True,,,0.91,0.84,0.74,0.85,20,33,72,34,,True,,True,False
