command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.003,0.0,0.0,0.003,0.304,0.315,3.84,-0.8749999999999998,14.19,0.000337,0.000675,0.0108,0.0274,0.2462,0.001,-0.004,0.00412310562561766,0.026,0.0,0.026,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,0,10.0,2.0,False,True,False,-2.0,-3.94,-4.77,7.21,True,True,True,True,True,True,True,True,True,False,True,False,0.99,1.0,1.0,0.99,10,0,0,12,,,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.475,-0.009,-0.042,0.025,0.009,0.042,0.332,0.341,2.66,-7.547499999999999,-1.25,0.008055,0.016109,0.5469,0.4426,0.8636,3.671,-0.916,3.783556131472084,-0.333,0.0,-0.333,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,1,10.0,2.0,True,True,True,-10.81,-5.53,-8.04,-5.81,True,True,True,True,True,True,True,True,True,True,,,0.71,0.67,0.61,0.58,30,29,33,28,True,True,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.428,0.009,-0.019,0.072,0.009,0.019,0.304,0.31,2.6,-9.0075,-2.99,0.006591,0.013181,0.494,0.098,0.898,-3.399,0.392,3.421529628689484,-0.153,0.0,-0.153,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,2,10.0,2.0,True,True,True,-12.72,-10.83,-6.21,-6.27,True,True,True,True,True,True,True,True,True,True,,,0.71,0.73,0.75,0.75,64,119,130,144,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,-0.021,0.18,0.007,0.021,0.12,0.007,0.318,0.323,4.46,-7.125,5.75,0.00419,0.008379,0.2004,0.0605,0.5872,-0.21,1.434,1.449295001026361,0.057,0.0,0.057,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,3,10.0,2.0,False,True,False,-8.57,-6.14,-2.57,-11.22,True,False,True,True,True,True,True,True,True,True,,,0.81,0.81,0.79,0.89,37,46,366,35,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.004,-0.214,-0.03,0.004,0.086,0.03,0.32,0.327,5.02,-5.525,11.65,0.003791,0.007582,0.2377,0.0608,0.9813,-0.256,-1.684,1.7033472928325568,-0.237,0.0,-0.237,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,4,10.0,2.0,False,True,False,-8.57,-5.93,-7.34,-0.26,True,False,True,True,True,True,True,True,True,True,,,0.75,0.78,0.8,0.82,34,270,47,192,,True,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.004,-0.017,0.463,0.004,0.017,0.037,0.308,0.321,5.19,-8.9825,9.99,0.002048,0.004095,0.065,0.0424,0.404,0.024,0.022,0.032557641192199414,3.701,3.998,-0.297,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,5,10.0,2.0,True,True,True,-1.92,-14.53,-18.81,-0.67,True,True,True,True,True,True,True,True,True,True,,,0.83,0.93,0.94,0.91,77,46,54,119,,True,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.012,0.014,-0.452,0.012,0.014,0.048,0.31,0.321,4.21,-10.9975,11.76,0.002336,0.004672,0.06,0.0363,0.7348,-0.011,-0.018,0.021095023109728984,-3.612,-3.998,0.385,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,6,10.0,2.0,True,True,True,-17.92,0.15,-2.14,-24.08,True,True,True,True,True,True,True,True,True,True,,,0.96,0.91,0.8,0.94,44,98,112,66,,True,,True,True
0.5,0.2,0.4,0.5,0.2,0.4,0.451,0.161,0.34,0.049,0.039,0.06,0.325,0.335,5.2,-7.2524999999999995,6.36,0.01076,0.021521,0.5353,0.4483,1.0593,-2.01,1.883,2.7542311086762488,2.716,3.198,-0.482,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,7,10.0,2.0,True,True,True,-13.61,-5.45,-6.03,-3.92,True,True,True,True,True,True,True,True,True,True,,,0.66,0.59,0.69,0.74,25,29,83,25,,True,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.436,-0.133,-0.428,0.064,0.067,0.028,0.303,0.313,5.22,-8.0125,1.49,0.007186,0.014371,0.5221,0.0897,1.33,1.338,1.602,2.087258489023341,-3.424,-3.198,-0.226,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,8,10.0,2.0,True,True,True,-11.09,-8.68,-5.17,-7.11,True,True,True,True,True,True,True,True,True,True,,,0.69,0.76,0.64,0.81,48,352,118,190,,True,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.003,-0.001,-0.001,0.003,0.001,0.001,0.334,0.339,4.63,-2.98,6.6,0.000479,0.000958,0.0111,0.0232,0.08,0.022,-0.012,0.025059928172283336,-0.011,0.0,-0.011,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,0,10.0,2.0,False,True,False,3.6,-4.61,-10.59,-0.32,True,True,True,True,True,True,True,True,True,True,False,False,1.0,1.0,0.96,0.96,8,0,2,4,,,,,
