step,time_s,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,joint_q_9,joint_q_10,joint_q_11,joint_dq_0,joint_dq_1,joint_dq_2,joint_dq_3,joint_dq_4,joint_dq_5,joint_dq_6,joint_dq_7,joint_dq_8,joint_dq_9,joint_dq_10,joint_dq_11,ang_vel_0,ang_vel_1,ang_vel_2,projected_gravity_0,projected_gravity_1,projected_gravity_2,base_lin_vel_0,base_lin_vel_1,base_lin_vel_2,base_pos_0,base_pos_1,base_pos_2,base_quat_0,base_quat_1,base_quat_2,base_quat_3
0,0.0,0.016280172392725945,-0.03469780460000038,0.013964501209557056,0.03527430072426796,-0.040661104023456573,-0.9826751947402954,0.0,0.0,0.25,-0.001214468851685524,0.005621049553155899,-0.0013352315872907639,-0.00304053770378232,-0.02447700873017311,-0.02164393849670887,0.0005228910595178604,0.021954907104372978,0.02884114347398281,-0.012907630763947964,-0.031744565814733505,-0.04514121264219284,0.02476644515991211,0.07119391113519669,0.06521926075220108,0.03978085517883301,0.0042955875396728516,0.07393413782119751,-0.03577972576022148,-0.020694607868790627,0.04152097925543785,0.009881543926894665,-0.019759738817811012,0.012746554799377918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.742277657347586e-08,-8.742277657347586e-08,0.0,0.0,0.0,-0.35248059034347534,0.17490319907665253,-0.42831847071647644,0.7581235766410828,-0.04834432527422905,-0.2613605856895447,-0.2204209864139557,-0.01372750848531723,0.29349157214164734,0.43766140937805176,0.9080591201782227,0.7265213131904602,0.011879853904247284,-0.05627420172095299,-0.007079616189002991,0.08953089267015457,0.7879139184951782,0.7346598505973816,0.7448947429656982,0.7965681552886963,-1.4266271591186523,-1.3905847072601318,-1.2729852199554443,-1.3183696269989014,0.1014648824930191,-0.10133512318134308,0.1019509807229042,-0.09639593213796616,0.7737290263175964,0.7856107950210571,0.803075909614563,0.8308364152908325,-1.4644694328308105,-1.5178359746932983,-1.5263596773147583,-1.535865306854248,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-3.751333236694336,0.24051344394683838,0.3240000009536743,0.5770997405052185,0.0,0.0,-0.8166736960411072
1,0.02,-0.06974804401397705,0.09434717893600464,0.02306673303246498,-0.04170665144920349,0.011658851057291031,-1.036668300628662,0.0,0.0,0.25,0.0069441478699445724,-0.008517967537045479,0.015705926343798637,0.01833324320614338,-0.0019795969128608704,-0.018573477864265442,-0.008854830637574196,0.019595855847001076,-0.003121759742498398,-0.01357165165245533,0.016643205657601357,0.005752431228756905,0.025267219170928,0.07006998360157013,-0.04907074198126793,0.006493300199508667,-0.03342479467391968,0.05010291561484337,-0.04073850437998772,0.04409731552004814,-0.06769848614931107,-0.025243688374757767,0.007191991899162531,0.06671787798404694,-0.35248059034347534,0.17490319907665253,-0.42831847071647644,0.7581235766410828,-0.04834432527422905,-0.2613605856895447,-0.2204209864139557,-0.01372750848531723,0.29349157214164734,0.43766140937805176,0.9080591201782227,0.7265213131904602,0.181514710187912,-0.18151485919952393,-0.18151485919952393,0.181514710187912,-0.0016108572017401457,-0.00021081534214317799,-0.16637066006660461,0.16601452231407166,-0.29003581404685974,0.3087834417819977,-0.2458716779947281,-0.5439521074295044,-0.27420032024383545,-0.08111993968486786,0.799586832523346,1.075894832611084,1.2813526391983032,0.42226994037628174,0.058407336473464966,-0.058496370911598206,0.027491047978401184,-0.0228041410446167,0.7385320663452148,0.6640119552612305,0.7314499616622925,0.7797200083732605,-1.3001033067703247,-1.231026291847229,-1.1796618700027466,-1.394432544708252,0.10566358268260956,-0.10174985229969025,0.10816764831542969,-0.08891566842794418,0.7907392978668213,0.7824936509132385,0.7940240502357483,0.8179671168327332,-1.5063080787658691,-1.5060176849365234,-1.4903310537338257,-1.4939265251159668,0.16198842227458954,0.019409138709306717,0.22887928783893585,0.2443794459104538,0.1379716396331787,0.07068754732608795,-0.47904202342033386,-0.39804625511169434,-1.0828840732574463,-0.9224989414215088,0.038372062146663666,0.09140055626630783,-0.1707553267478943,0.41298794746398926,0.10729121416807175,0.005300609394907951,0.003067449666559696,-0.9999812245368958,-0.0016108572017401457,-0.00021081534214317799,-0.06560832262039185,-3.7513349056243896,0.24050770699977875,0.3230428099632263,0.5776653289794922,0.0012773911003023386,0.0027829459868371487,-0.8162679076194763
2,0.04,0.021018872037529945,0.11268247663974762,0.031390052288770676,-0.009559951722621918,-0.0019747205078601837,-0.9908866286277771,0.0,0.0,0.25,0.009484788402915001,-0.012113997712731361,0.005423855036497116,0.00891096517443657,-0.012782692909240723,-0.020195065066218376,-0.022877037525177002,0.01454911194741726,-0.016130615025758743,-0.026157723739743233,0.013911919668316841,0.0037471242249011993,0.006428432650864124,-0.07137604057788849,-0.038324784487485886,0.0656200423836708,0.03150900825858116,-0.04516271501779556,-0.05213072523474693,-0.050364959985017776,-0.08951679617166519,0.004792666528373957,0.11462336033582687,0.018263263627886772,-0.16637066006660461,0.16601452231407166,-0.29003581404685974,0.3087834417819977,-0.2458716779947281,-0.5439521074295044,-0.27420032024383545,-0.08111993968486786,0.799586832523346,1.075894832611084,1.2813526391983032,0.42226994037628174,0.35699886083602905,-0.35699883103370667,-0.35699883103370667,0.35699886083602905,-0.01867244392633438,-0.003766274079680443,0.03180541843175888,0.015313101932406425,-0.36180803179740906,0.020936060696840286,0.062115807086229324,-0.646651029586792,-0.09644803404808044,0.10190869122743607,0.6113837361335754,1.3867084980010986,1.6756829023361206,-0.21725328266620636,0.10795135796070099,-0.09617172926664352,0.009547993540763855,-0.09476598352193832,0.8155289888381958,0.638337254524231,0.7758880257606506,0.8254771828651428,-1.3471540212631226,-1.1533229351043701,-1.0810792446136475,-1.5543133020401,0.10110975056886673,-0.10742805898189545,0.1066572442650795,-0.08931252360343933,0.7869787812232971,0.782133162021637,0.7774932384490967,0.8081834316253662,-1.5186541080474854,-1.5176173448562622,-1.4793059825897217,-1.4882563352584839,-0.38220933079719543,-0.41721317172050476,-0.1916601061820984,-0.11828120052814484,-0.35236430168151855,-0.10588465631008148,-0.9732173085212708,-0.5393573045730591,-0.34736689925193787,-0.38036996126174927,0.7954814434051514,0.3934255838394165,0.2899550795555115,0.38399559259414673,0.22087708115577698,0.013423270545899868,-0.0001865294761955738,-0.9999098777770996,-0.01867244392633438,-0.003766274079680443,0.018900832161307335,-3.7512869834899902,0.24073822796344757,0.32277798652648926,0.5791683197021484,0.005525458138436079,0.0038113107439130545,-0.8151803612709045
3,0.06,0.20863206684589386,0.0069374144077301025,0.042913470417261124,-0.018015015870332718,0.029237907379865646,-0.9763462543487549,0.0,0.0,0.25,-0.013109707273542881,-0.021880310028791428,-0.008006062358617783,0.0030296724289655685,-0.018095139414072037,-0.012025787495076656,-0.03310061991214752,0.009886438027024269,-0.010336463339626789,-0.013655053451657295,0.03377567231655121,-0.03807235509157181,-0.07583317905664444,-0.06843914091587067,-0.06515634059906006,0.01329814177006483,-0.010347003117203712,-0.003796833800151944,-0.015926534309983253,-0.03794098272919655,-0.040241826325654984,-0.06094706058502197,0.03164668008685112,-0.03674843907356262,0.03180541843175888,0.015313101932406425,-0.36180803179740906,0.020936060696840286,0.062115807086229324,-0.646651029586792,-0.09644803404808044,0.10190869122743607,0.6113837361335754,1.3867084980010986,1.6756829023361206,-0.21725328266620636,0.5206222534179688,-0.5206222534179688,-0.5206222534179688,0.5206222534179688,-0.019218355417251587,-0.004648460075259209,0.06619591265916824,0.07709040492773056,-0.5884560346603394,0.027193069458007812,0.8547599911689758,-0.6806066632270813,-0.054162949323654175,0.13326719403266907,-0.4416561722755432,1.313551902770996,1.818479061126709,-0.4997239112854004,0.11654897779226303,-0.08072739839553833,-0.04711400717496872,-0.09320173412561417,1.0136899948120117,0.6298483610153198,0.7864592671394348,0.8333168029785156,-1.6104140281677246,-1.171612024307251,-1.0453802347183228,-1.62493097782135,0.08337847888469696,-0.12526065111160278,0.09418854862451553,-0.09071081876754761,0.778563380241394,0.7828782200813293,0.7629595994949341,0.8182621002197266,-1.515000820159912,-1.521040916442871,-1.464390754699707,-1.5317744016647339,-0.9835918545722961,-0.973432719707489,-0.7025496363639832,-0.031052784994244576,-0.4358295202255249,0.059741392731666565,-0.5889617204666138,0.30621880292892456,0.40912866592407227,-0.007317237555980682,0.6915143132209778,-1.2729436159133911,0.8478144407272339,0.02496170997619629,0.2575211226940155,0.016138451173901558,-0.01540654618293047,-0.999751091003418,-0.019218355417251587,-0.004648460075259209,0.03433789312839508,-3.751256227493286,0.24110588431358337,0.32330000400543213,0.5811774134635925,0.011044275015592575,-0.0015787011943757534,-0.8137004375457764
4,0.08,0.05519711971282959,0.022149255499243736,0.07455016672611237,0.06260307133197784,0.022091951221227646,-1.0321998596191406,0.0,0.0,0.25,-0.028679857030510902,-0.03365446999669075,-0.02116401679813862,0.016381477937102318,0.06810303032398224,-0.023071881383657455,-0.04655902832746506,0.03521709144115448,-0.08779142051935196,-0.03210724517703056,0.050462111830711365,-0.09361721575260162,0.01594417169690132,-0.0706297978758812,-0.05800116807222366,0.09010589122772217,0.27208465337753296,0.07675936073064804,0.020717119798064232,-0.06821155548095703,-0.09857897460460663,-0.049629319459199905,0.03841313347220421,-0.06256043165922165,0.06619591265916824,0.07709040492773056,-0.5884560346603394,0.027193069458007812,0.8547599911689758,-0.6806066632270813,-0.054162949323654175,0.13326719403266907,-0.4416561722755432,1.313551902770996,1.818479061126709,-0.4997239112854004,0.6669487357139587,-0.6669486165046692,-0.6669486165046692,0.6669487357139587,-0.007805508095771074,0.00677896523848176,-0.31484347581863403,0.6282097101211548,-0.779826283454895,0.08741136640310287,0.746216893196106,-0.49022334814071655,0.061536699533462524,0.03659567981958389,-0.724035382270813,1.2520549297332764,1.9667961597442627,-0.4953354001045227,0.02128913253545761,0.05705242604017258,-0.09495656937360764,-0.07814715802669525,0.9865542650222778,0.6774441599845886,0.8153842091560364,0.809148907661438,-1.6810088157653809,-1.1869862079620361,-1.008301019668579,-1.6238338947296143,0.06453687697649002,-0.13969597220420837,0.08536593616008759,-0.07833003252744675,0.8605894446372986,0.7855793833732605,0.7563276886940002,0.8290050625801086,-1.5953445434570312,-1.522113561630249,-1.4578218460083008,-1.5901378393173218,-0.3515770435333252,-0.6295688152313232,-0.36066070199012756,0.62494957447052,4.754056453704834,0.14805950224399567,-0.25131866335868835,0.04938942939043045,-1.69234299659729,-0.06347109377384186,0.21860651671886444,-1.8156620264053345,0.4746290445327759,-0.009227097034454346,0.2352365404367447,0.01600594073534012,-0.026891611516475677,-0.9995102286338806,-0.007805508095771074,0.00677896523848176,-0.005539321806281805,-3.751131534576416,0.24126103520393372,0.32337868213653564,0.5831372141838074,0.014344458468258381,-0.0062556941993534565,-0.812222957611084
5,0.1,0.02514677308499813,-0.03158251941204071,0.0019529223209246993,0.05809010937809944,-0.039704956114292145,-0.9949051141738892,0.0,0.0,0.25,-0.058608680963516235,-0.045386895537376404,-0.015920940786600113,0.029893657192587852,0.16738475859165192,-0.002888863906264305,-0.03864550590515137,0.022672375664114952,-0.1556118130683899,-0.022056985646486282,0.03897301107645035,-0.10017586499452591,-0.12349022924900055,-0.07447033375501633,0.009840029291808605,-0.005508548114448786,0.2713710367679596,-0.005629456136375666,0.06352519989013672,-0.023177718743681908,0.0018437386024743319,0.02724055014550686,0.009719634428620338,-0.0899524912238121,-0.31484347581863403,0.6282097101211548,-0.779826283454895,0.08741136640310287,0.746216893196106,-0.49022334814071655,0.061536699533462524,0.03659567981958389,-0.724035382270813,1.2520549297332764,1.9667961597442627,-0.4953354001045227,0.7911168336868286,-0.7911165952682495,-0.7911165952682495,0.7911168336868286,-0.010239650495350361,0.011018706485629082,-0.3105483055114746,0.416299968957901,-0.7119044065475464,0.08597404509782791,0.9397633075714111,-0.3364729881286621,-0.13088712096214294,0.17893359065055847,-0.9023471474647522,1.2923078536987305,1.9214284420013428,-0.5080127716064453,0.022362925112247467,0.004074990749359131,-0.07797610014677048,-0.07850649207830429,1.0349408388137817,0.7158817648887634,0.767278254032135,0.8447334170341492,-1.7255867719650269,-1.1769230365753174,-1.0196428298950195,-1.6270031929016113,0.03870696574449539,-0.1491754949092865,0.08085917681455612,-0.062474362552165985,0.9590265154838562,0.7883353233337402,0.7542963027954102,0.8160860538482666,-1.6457287073135376,-1.522135615348816,-1.4571832418441772,-1.6072108745574951,-1.365692377090454,-0.3658500015735626,-0.15997061133384705,0.8824357986450195,4.092423439025879,0.12640480697155,0.024823319166898727,-0.8582084774971008,-1.1713156700134277,0.046479616314172745,0.089174784719944,-0.6012572050094604,0.22247307002544403,-0.07563009858131409,0.20041215419769287,0.014907614327967167,-0.03337971866130829,-0.999331533908844,-0.010239650495350361,0.011018706485629082,-0.014804878272116184,-3.7508585453033447,0.24135112762451172,0.3231494724750519,0.5848256945610046,0.015810631215572357,-0.009178580716252327,-0.81095290184021
6,0.12,0.07404257357120514,0.003043603850528598,0.08805723488330841,-0.035168539732694626,-0.08142603933811188,-1.0472406148910522,0.0,0.0,0.25,-0.09859718382358551,-0.06411384791135788,-0.02554493211209774,0.043380364775657654,0.21959054470062256,-0.011374318040907383,-0.050520069897174835,0.01627258025109768,-0.1925477236509323,-0.014493118971586227,0.04866231977939606,-0.1182921975851059,-0.052112191915512085,0.041610777378082275,0.022600574418902397,0.01519243698567152,0.07154446095228195,-0.009628081694245338,0.00658269552513957,-0.05879158899188042,-0.05014484003186226,0.011857080273330212,0.0021611452102661133,-0.01420515775680542,-0.3105483055114746,0.416299968957901,-0.7119044065475464,0.08597404509782791,0.9397633075714111,-0.3364729881286621,-0.13088712096214294,0.17893359065055847,-0.9023471474647522,1.2923078536987305,1.9214284420013428,-0.5080127716064453,0.8890011310577393,-0.8890012502670288,-0.8890012502670288,0.8890011310577393,-0.011365325190126896,0.012942149303853512,-0.2956031858921051,0.7908004522323608,-0.9244410991668701,0.05236576497554779,1.2183679342269897,-0.48322445154190063,-0.020595550537109375,0.367389440536499,-1.1525574922561646,1.3035342693328857,2.020644187927246,-0.61851966381073,0.026099205017089844,0.09770011156797409,-0.131110280752182,-0.08690856397151947,1.104591965675354,0.679193913936615,0.7948511242866516,0.8918473720550537,-1.7881393432617188,-1.1741163730621338,-0.9948389530181885,-1.6546299457550049,0.008738470263779163,-0.15763644874095917,0.07881417125463486,-0.04666529595851898,1.0289636850357056,0.7924050688743591,0.7546902894973755,0.8126002550125122,-1.688023567199707,-1.522010087966919,-1.4606149196624756,-1.6208269596099854,-1.1458319425582886,-0.4187915027141571,-0.06490866839885712,0.6694789528846741,2.5035877227783203,0.22987645864486694,0.028642451390624046,0.044962070882320404,-1.1875181198120117,-0.013078209944069386,-0.2141444981098175,-0.3330988585948944,0.21091337502002716,-0.09553192555904388,0.2971760034561157,0.01286233402788639,-0.038080405443906784,-0.9991918802261353,-0.011365325190126896,0.012942149303853512,-0.037414222955703735,-3.7505109310150146,0.24146148562431335,0.3225625157356262,0.5869690775871277,0.016387762501835823,-0.011640180833637714,-0.809359610080719
7,0.14,-0.010767740197479725,-0.000755074608605355,0.03179086744785309,-0.004845466464757919,0.010713297873735428,-1.0221837759017944,0.0,0.0,0.25,-0.10231361538171768,-0.06446844339370728,-0.024477530270814896,0.07038500159978867,0.2889585793018341,-0.00219868216663599,-0.03308027982711792,0.03980442136526108,-0.24666529893875122,-0.030655527487397194,0.01845243014395237,-0.1394387036561966,-0.02007056586444378,0.019412392750382423,0.00974884070456028,0.03933011367917061,0.12206200510263443,-0.03735203668475151,0.07795155048370361,0.12263701111078262,-0.15838809311389923,-0.00719000119715929,-0.06682290881872177,0.033495355397462845,-0.2956031858921051,0.7908004522323608,-0.9244410991668701,0.05236576497554779,1.2183679342269897,-0.48322445154190063,-0.020595550537109375,0.367389440536499,-1.1525574922561646,1.3035342693328857,2.020644187927246,-0.61851966381073,0.9573497772216797,-0.9573498368263245,-0.9573498368263245,0.9573497772216797,-0.01005917601287365,0.011353702284395695,-0.4033838212490082,0.5551357269287109,-0.7175732851028442,0.12387356162071228,1.1910310983657837,-0.14950281381607056,-0.15377426147460938,0.3249267339706421,-1.1347628831863403,1.3783143758773804,1.9678691625595093,-0.7667461633682251,-0.0008459538221359253,0.038783930242061615,-0.07939331978559494,-0.06903161108493805,1.0977578163146973,0.7626243233680725,0.7615564465522766,0.8812316656112671,-1.7836906909942627,-1.1554213762283325,-1.0080326795578003,-1.6916865110397339,-0.0036665829829871655,-0.15919111669063568,0.08369823545217514,-0.0348147414624691,1.0832971334457397,0.7972996830940247,0.7609190344810486,0.8374568819999695,-1.7480968236923218,-1.5209141969680786,-1.4719197750091553,-1.6437180042266846,-0.05624650418758392,0.05923669412732124,0.34522005915641785,0.27918848395347595,2.014986515045166,0.2384830117225647,0.40898528695106506,1.405727505683899,-1.8296101093292236,0.07343578338623047,-0.6762589812278748,-0.49792614579200745,-0.21899960935115814,-0.1914880871772766,0.22777526080608368,0.009333337657153606,-0.036080241203308105,-0.9993053078651428,-0.01005917601287365,0.011353702284395695,-0.060815829783678055,-3.7501609325408936,0.24156446754932404,0.3214922845363617,0.5890825390815735,0.014402125962078571,-0.011828908696770668,-0.8078579902648926
8,0.16,-0.027577105909585953,-0.022234752774238586,0.08003269881010056,-0.004372391849756241,-0.06234636902809143,-0.9821984171867371,0.0,0.0,0.25,-0.11817305535078049,-0.05092703551054001,-0.016593867912888527,0.06310130655765533,0.2958380877971649,0.010538466274738312,-0.04113329201936722,0.056523628532886505,-0.26005855202674866,-0.01732316054403782,0.007428932934999466,-0.16415080428123474,-0.09026854485273361,0.017394984140992165,-0.04337186738848686,0.046667661517858505,0.019284510985016823,0.020589424297213554,-0.055849649012088776,0.03272661194205284,-0.014380860142409801,0.060995589941740036,0.004905486013740301,0.028834868222475052,-0.4033838212490082,0.5551357269287109,-0.7175732851028442,0.12387356162071228,1.1910310983657837,-0.14950281381607056,-0.15377426147460938,0.3249267339706421,-1.1347628831863403,1.3783143758773804,1.9678691625595093,-0.7667461633682251,0.9938918352127075,-0.9938918352127075,-0.9938918352127075,0.9938918352127075,-0.012761928141117096,0.012014959007501602,-0.34066182374954224,0.8160592317581177,-0.954379677772522,0.07712413370609283,1.2600160837173462,-0.23013776540756226,-0.038317859172821045,0.437153160572052,-1.3486931324005127,1.189046859741211,1.9131826162338257,-0.8248183727264404,0.01483454555273056,0.1040148064494133,-0.13859492540359497,-0.08071896433830261,1.115004062652588,0.7424655556678772,0.7904205322265625,0.9092882871627808,-1.8371732234954834,-1.2027382850646973,-1.0217043161392212,-1.7062046527862549,-0.009860771708190441,-0.1606932282447815,0.08917916566133499,-0.033903494477272034,1.1022889614105225,0.8032035231590271,0.7683073282241821,0.8660644888877869,-1.7657387256622314,-1.5210175514221191,-1.485368251800537,-1.669918417930603,-0.3411336839199066,-0.0826697051525116,0.287665456533432,-0.11630875617265701,0.3981756269931793,0.2997152507305145,0.31900128722190857,1.0410211086273193,-0.5720705986022949,-0.05103525146842003,-0.6532728672027588,-0.7649714350700378,-0.12228690087795258,-0.15407511591911316,0.2920840382575989,0.0055163102224469185,-0.03377773240208626,-0.9994141459465027,-0.012761928141117096,0.012014959007501602,-0.07272756844758987,-3.749795436859131,0.24169744551181793,0.3201447129249573,0.5913064479827881,0.012213878333568573,-0.011989504098892212,-0.8062652945518494
9,0.18,-0.0782952532172203,-0.04098301753401756,0.0727943703532219,0.02201901748776436,0.018713992089033127,-1.026780128479004,0.0,0.0,0.25,-0.12145111709833145,-0.04977545142173767,0.0024938685819506645,0.05891192704439163,0.3023419678211212,0.001778455451130867,-0.01440400443971157,0.07796534150838852,-0.30804383754730225,-0.02553493157029152,0.0026487670838832855,-0.1907009780406952,0.005287867970764637,0.0489029660820961,-0.023121381178498268,-0.012653285637497902,-0.0010438442695885897,0.00025118590565398335,0.017247159034013748,0.02872004546225071,-0.10232384502887726,-0.025243181735277176,-0.038971371948719025,0.011185419745743275,-0.34066182374954224,0.8160592317581177,-0.954379677772522,0.07712413370609283,1.2600160837173462,-0.23013776540756226,-0.038317859172821045,0.437153160572052,-1.3486931324005127,1.189046859741211,1.9131826162338257,-0.8248183727264404,0.9974132776260376,-0.9974132776260376,-0.9974132776260376,0.9974132776260376,-0.013416063040494919,0.01259754877537489,-0.4120674729347229,0.785680890083313,-1.0008220672607422,0.20128343999385834,1.2993205785751343,-0.10863562673330307,-0.13241168856620789,0.42337560653686523,-1.1753268241882324,1.1593902111053467,1.964340090751648,-0.7559868097305298,-0.0030168667435646057,0.09642022103071213,-0.15020552277565002,-0.049679141491651535,1.1248301267623901,0.7728410959243774,0.7668970823287964,0.9058439135551453,-1.793831706047058,-1.2101523876190186,-1.0089149475097656,-1.68899667263031,-0.012059549801051617,-0.15882207453250885,0.09810950607061386,-0.03851471096277237,1.1094298362731934,0.8091633319854736,0.7763475179672241,0.8873820304870605,-1.8085907697677612,-1.522717833518982,-1.5012943744659424,-1.6894009113311768,0.15971887111663818,0.16177745163440704,0.49505743384361267,-0.3872452974319458,-0.05456257238984108,0.2918335795402527,0.42460522055625916,0.8598330020904541,-1.4738168716430664,-0.10302712768316269,-0.8323584794998169,-0.5688628554344177,-0.3478381037712097,-0.14429029822349548,0.24706746637821198,0.0023664264008402824,-0.02802564576268196,-0.9996044039726257,-0.013416063040494919,0.01259754877537489,-0.08775446563959122,-3.749399423599243,0.24185805022716522,0.318493515253067,0.5934799313545227,0.009270326234400272,-0.010576359927654266,-0.8047258257865906
