step,time_s,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,joint_q_9,joint_q_10,joint_q_11,joint_dq_0,joint_dq_1,joint_dq_2,joint_dq_3,joint_dq_4,joint_dq_5,joint_dq_6,joint_dq_7,joint_dq_8,joint_dq_9,joint_dq_10,joint_dq_11,ang_vel_0,ang_vel_1,ang_vel_2,projected_gravity_0,projected_gravity_1,projected_gravity_2,base_lin_vel_0,base_lin_vel_1,base_lin_vel_2,base_pos_0,base_pos_1,base_pos_2,base_quat_0,base_quat_1,base_quat_2,base_quat_3
0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.742277657347586e-08,-8.742277657347586e-08,0.0,0.0,0.0,-0.460424542427063,0.11812493205070496,-0.34737294912338257,0.7059404253959656,-0.18987520039081573,-0.24046337604522705,-0.24530398845672607,-0.05705376714468002,0.4577949643135071,0.47658276557922363,0.8660933971405029,0.7886375784873962,-0.015106134116649628,-0.07046876847743988,0.013156764209270477,0.07648510485887527,0.7525312304496765,0.7398841381072998,0.7386740446090698,0.7857365608215332,-1.3855512142181396,-1.3808543682098389,-1.2834765911102295,-1.3028405904769897,0.10000000149011612,-0.10000000149011612,0.10000000149011612,-0.10000000149011612,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,-1.5,-1.5,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-4.0,0.0,0.3240000009536743,1.0,0.0,0.0,0.0
1,0.02,0.0037929972168058157,0.10226521641016006,0.03366728872060776,0.006955686490982771,-0.0003371820494066924,-0.9999757409095764,0.0,0.0,0.25,-0.0013581588864326477,-0.0015447959303855896,0.00029608607292175293,0.0016276240348815918,-0.006805598735809326,-0.0042285919189453125,-0.016673564910888672,-0.01316368579864502,-0.002542257308959961,-0.003292679786682129,0.0153731107711792,0.012929797172546387,-0.0037653211038559675,-0.0066054509952664375,0.0026368179824203253,0.005463545210659504,-0.009759362787008286,-0.004936873447149992,-0.04921331629157066,-0.037077754735946655,-0.03732655197381973,-0.030573992058634758,0.03416437655687332,0.02746710740029812,-0.460424542427063,0.11812493205070496,-0.34737294912338257,0.7059404253959656,-0.18987520039081573,-0.24046337604522705,-0.24530398845672607,-0.05705376714468002,0.4577949643135071,0.47658276557922363,0.8660933971405029,0.7886375784873962,0.181514710187912,-0.18151485919952393,-0.18151485919952393,0.181514710187912,-0.009505107067525387,-0.0007835929864086211,-0.11803850531578064,0.20214428007602692,-0.39897480607032776,0.21621239185333252,-0.16489261388778687,-0.6470760703086853,-0.17805004119873047,-0.05933096259832382,0.754208505153656,1.1886966228485107,1.3633546829223633,0.38102394342422485,0.07049037516117096,-0.04946393147110939,0.0002562999725341797,-0.04594690352678299,0.758776843547821,0.6382309794425964,0.7554875016212463,0.7851672768592834,-1.3114478588104248,-1.2028257846832275,-1.1591613292694092,-1.404744029045105,0.09864184260368347,-0.10154479742050171,0.10029608756303787,-0.09837237745523453,0.7931944131851196,0.7957714200019836,0.7833264470100403,0.7868363261222839,-1.50254225730896,-1.5032926797866821,-1.4846268892288208,-1.4870702028274536,-0.07530642300844193,-0.13210901618003845,0.05273635685443878,0.10927090048789978,-0.1951872557401657,-0.09873746335506439,-0.9842663407325745,-0.7415550947189331,-0.7465310096740723,-0.6114798188209534,0.683287501335144,0.549342155456543,0.018964985385537148,0.5113260746002197,0.1683364361524582,0.006955686490982771,-0.0003371820494066924,-0.9999757409095764,-0.009505107067525387,-0.0007835929864086211,-0.0030256782192736864,-4.000123023986816,-2.645188942551613e-06,0.323965460062027,0.9999933242797852,0.0001648467587074265,0.003478043945506215,0.0010768614010885358
2,0.04,0.06829053163528442,0.056291647255420685,0.045904241502285004,0.014399216510355473,-0.005623603239655495,-0.9998804926872253,0.0,0.0,0.25,-0.008516333997249603,-0.009137608110904694,-0.002993740141391754,-0.0004021450877189636,-0.0142439603805542,-0.007113456726074219,-0.036418378353118896,-0.024472832679748535,-0.007742881774902344,-0.008749246597290039,0.0326765775680542,0.022687435150146484,-0.022613320499658585,-0.02263602614402771,-0.01160218846052885,-0.0083849485963583,-0.022539613768458366,-0.008944971486926079,-0.04729360342025757,-0.02322009764611721,0.0007054507732391357,-0.0023972673807293177,0.0463191382586956,0.02325177751481533,-0.11803850531578064,0.20214428007602692,-0.39897480607032776,0.21621239185333252,-0.16489261388778687,-0.6470760703086853,-0.17805004119873047,-0.05933096259832382,0.754208505153656,1.1886966228485107,1.3633546829223633,0.38102394342422485,0.35699886083602905,-0.35699883103370667,-0.35699883103370667,0.35699886083602905,-0.017573608085513115,-0.0037014763802289963,0.0526309460401535,0.057333000004291534,-0.507927417755127,0.06424564868211746,0.2669547200202942,-0.7334641814231873,-0.08069631457328796,0.038953982293605804,0.33461320400238037,1.3174927234649658,1.730162262916565,-0.25567078590393066,0.1131577342748642,-0.08566675335168839,-0.02698185294866562,-0.0839385911822319,0.8667386770248413,0.616633951663971,0.7798259258270264,0.8097385168075562,-1.4163466691970825,-1.1706268787384033,-1.0674594640731812,-1.563917636871338,0.09148366749286652,-0.10913760960102081,0.09700626134872437,-0.10040214657783508,0.7857560515403748,0.7928865551948547,0.7635816335678101,0.7755271792411804,-1.5077428817749023,-1.50874924659729,-1.4673234224319458,-1.4773125648498535,-0.4522663950920105,-0.4527205228805542,-0.2320437729358673,-0.1676989644765854,-0.4507922828197479,-0.17889942228794098,-0.9458720684051514,-0.4644019603729248,0.014109015464782715,-0.04794534668326378,0.9263827800750732,0.4650355279445648,0.3414526581764221,0.2814582288265228,0.22952120006084442,0.014399216510355473,-0.005623603239655495,-0.9998804926872253,-0.017573608085513115,-0.0037014763802289963,0.051045265048742294,-4.000393867492676,-4.1460851207375526e-05,0.3245651125907898,0.9999650120735168,0.0027887700125575066,0.007208808325231075,0.003208458423614502
3,0.06,0.09838514775037766,0.019773371517658234,0.05198568105697632,0.0172286219894886,-0.015308535657823086,-0.9997344017028809,0.0,0.0,0.25,-0.020378664135932922,-0.021501310169696808,-0.010061010718345642,0.01168881356716156,-0.020582735538482666,-0.008230924606323242,-0.05066192150115967,-0.006821751594543457,-0.003429412841796875,-0.008292317390441895,0.04739654064178467,-0.03579378128051758,-0.026912271976470947,-0.031772173941135406,-0.018664728850126266,0.03578230366110802,-0.018594341352581978,-0.001215245807543397,-0.0305724386125803,0.0288520660251379,0.03211258724331856,0.002905030269175768,0.032303743064403534,-0.08340619504451752,0.0526309460401535,0.057333000004291534,-0.507927417755127,0.06424564868211746,0.2669547200202942,-0.7334641814231873,-0.08069631457328796,0.038953982293605804,0.33461320400238037,1.3174927234649658,1.730162262916565,-0.25567078590393066,0.5206222534179688,-0.5206222534179688,-0.5206222534179688,0.5206222534179688,-0.011844835244119167,0.0041473256424069405,-0.03182294964790344,0.23429475724697113,-0.6046316623687744,0.07300972938537598,0.6658146977424622,-0.6309188604354858,-0.08288481831550598,0.0326414629817009,-0.3582136034965515,1.1472883224487305,1.826735019683838,-0.4318060874938965,0.09204426407814026,-0.04142631217837334,-0.051157914102077484,-0.08174756914377213,0.9664536714553833,0.6422703266143799,0.7792788147926331,0.8081603646278381,-1.5895533561706543,-1.2131779193878174,-1.0433162450790405,-1.6079515218734741,0.0796213373541832,-0.12150131165981293,0.08993899077177048,-0.08831118792295456,0.7794172763824463,0.7917690873146057,0.7493380904197693,0.7931782603263855,-1.5034294128417969,-1.508292317390442,-1.4526034593582153,-1.5357937812805176,-0.538245439529419,-0.6354434490203857,-0.37329456210136414,0.7156460285186768,-0.37188681960105896,-0.024304915219545364,-0.6114487648010254,0.5770413279533386,0.64225172996521,0.05810060352087021,0.6460748314857483,-1.6681238412857056,0.49192574620246887,0.09886685758829117,0.2599284052848816,0.0172286219894886,-0.015308535657823086,-0.9997344017028809,-0.011844835244119167,0.0041473256424069405,0.03506702184677124,-4.000641822814941,-4.1613937355577946e-05,0.3253346085548401,0.9999167919158936,0.007604693993926048,0.008659125305712223,0.005798140540719032
4,0.08,0.0554920993745327,0.007970173843204975,0.04638214781880379,0.018405430018901825,-0.021953677758574486,-0.9995895624160767,0.0,0.0,0.25,-0.04039837419986725,-0.03151983767747879,-0.014673039317131042,0.03219657391309738,0.04656130075454712,-0.00715869665145874,-0.0582432746887207,0.0034416913986206055,-0.07390916347503662,-0.008017182350158691,0.05413353443145752,-0.07969892024993896,-0.03517290577292442,-0.022620011121034622,-0.009814939461648464,0.04700411483645439,0.18951447308063507,0.003990198485553265,-0.013398559764027596,0.006323532201349735,-0.07619710266590118,0.0002283563808305189,0.010220642201602459,-0.06746332347393036,-0.03182294964790344,0.23429475724697113,-0.6046316623687744,0.07300972938537598,0.6658146977424622,-0.6309188604354858,-0.08288481831550598,0.0326414629817009,-0.3582136034965515,1.1472883224487305,1.826735019683838,-0.4318060874938965,0.6669487357139587,-0.6669486165046692,-0.6669486165046692,0.6669487357139587,-0.0014791919384151697,0.016225377097725868,-0.19848297536373138,0.4923160970211029,-0.6701735258102417,0.10740833729505539,0.7154054045677185,-0.5158377885818481,-0.1129801869392395,0.07274826616048813,-0.6030250191688538,1.1768168210983276,1.9310427904129028,-0.460246205329895,0.05037925764918327,0.023079022765159607,-0.0675433799624443,-0.07314791530370712,0.9788513779640198,0.6710405349731445,0.7717549800872803,0.8181870579719543,-1.6507562398910522,-1.2057957649230957,-1.0172393321990967,-1.6150615215301514,0.05960162729024887,-0.1315198391675949,0.08532696217298508,-0.06780342757701874,0.8465613126754761,0.7928413152694702,0.7417567372322083,0.8034417033195496,-1.5739091634750366,-1.5080171823501587,-1.4458664655685425,-1.579698920249939,-0.7034580707550049,-0.45240020751953125,-0.1962987780570984,0.9400822520256042,3.7902894020080566,0.079803965985775,-0.2679711878299713,0.1264706403017044,-1.523941993713379,0.004567127674818039,0.20441283285617828,-1.3492664098739624,0.2774604856967926,0.0398508682847023,0.23191073536872864,0.018405430018901825,-0.021953677758574486,-0.9995895624160767,-0.0014791919384151697,0.016225377097725868,-0.00032324675703421235,-4.000707149505615,0.0002221553586423397,0.32551056146621704,0.9998630285263062,0.0109013756737113,0.009294251911342144,0.008279998786747456
5,0.1,0.01294903177767992,0.0018838824471458793,0.048712410032749176,0.018684949725866318,-0.02467413991689682,-0.9995208978652954,0.0,0.0,0.25,-0.06014078110456467,-0.03797895461320877,-0.01570317894220352,0.052138809114694595,0.13385826349258423,-0.004948616027832031,-0.0611383318901062,0.004639863967895508,-0.12107038497924805,-0.00812530517578125,0.05435633659362793,-0.10001099109649658,-0.040760934352874756,-0.01319295633584261,0.0008089020848274231,0.04559614881873131,0.1904451549053192,0.006154639180749655,-0.005067524500191212,-0.0022908118553459644,-0.05387895926833153,-0.0003814954252447933,-0.0031849113292992115,-0.02996024489402771,-0.19848297536373138,0.4923160970211029,-0.6701735258102417,0.10740833729505539,0.7154054045677185,-0.5158377885818481,-0.1129801869392395,0.07274826616048813,-0.6030250191688538,1.1768168210983276,1.9310427904129028,-0.460246205329895,0.7911168336868286,-0.7911165952682495,-0.7911165952682495,0.7911168336868286,-0.0015967380022630095,0.021125534549355507,-0.2667620778083801,0.6136960387229919,-0.758651852607727,0.0955897718667984,0.8121705055236816,-0.41506409645080566,-0.11026903986930847,0.17328867316246033,-0.770099937915802,1.2411935329437256,1.9932985305786133,-0.5666642189025879,0.03330948203802109,0.053424008190631866,-0.08966296166181564,-0.07610255479812622,1.0030426979064941,0.6962339878082275,0.7724327445030212,0.8433221578598022,-1.692525029182434,-1.1897015571594238,-1.0016753673553467,-1.641666054725647,0.03985922038555145,-0.1379789561033249,0.0842968225479126,-0.047861192375421524,0.9338582754135132,0.7950513958930969,0.7388616800308228,0.8046398758888245,-1.621070384979248,-1.5081253051757812,-1.445643663406372,-1.6000109910964966,-0.8152186870574951,-0.2638591229915619,0.016178041696548462,0.9119229316711426,3.8089029788970947,0.12309278547763824,-0.10135048627853394,-0.04581623524427414,-1.077579140663147,-0.007629908621311188,-0.06369822472333908,-0.5992048978805542,0.06474515795707703,0.009419412352144718,0.24356204271316528,0.018684949725866318,-0.02467413991689682,-0.9995208978652954,-0.0015967380022630095,0.021125534549355507,-0.0229317806661129,-4.00072717666626,0.000643276609480381,0.3252023756504059,0.9998233914375305,0.01223826315253973,0.009474569000303745,0.01065677497535944
6,0.12,0.003213590709492564,-0.007949074730277061,0.05098062753677368,0.017950717359781265,-0.02592312917113304,-0.9995027780532837,0.0,0.0,0.25,-0.07996153831481934,-0.043502531945705414,-0.015063650906085968,0.0642196387052536,0.19897329807281494,-0.0011919140815734863,-0.060626208782196045,0.014876902103424072,-0.1582164764404297,-0.00897824764251709,0.04952430725097656,-0.12578117847442627,-0.03683306649327278,-0.011802462860941887,0.0034721919801086187,0.01728515885770321,0.11808431148529053,0.009991204366087914,0.003365615149959922,0.023725688457489014,-0.05197758227586746,-0.0027706697583198547,-0.015303581021726131,-0.036363936960697174,-0.2667620778083801,0.6136960387229919,-0.758651852607727,0.0955897718667984,0.8121705055236816,-0.41506409645080566,-0.11026903986930847,0.17328867316246033,-0.770099937915802,1.2411935329437256,1.9932985305786133,-0.5666642189025879,0.8890011310577393,-0.8890012502670288,-0.8890012502670288,0.8890011310577393,-0.002860051579773426,0.024738410487771034,-0.29732853174209595,0.6737991571426392,-0.8194236755371094,0.10457059741020203,0.958000659942627,-0.309760719537735,-0.12855395674705505,0.2678830623626709,-0.9275217056274414,1.2416133880615234,2.010190963745117,-0.6555607914924622,0.025667868554592133,0.06844978779554367,-0.10485591739416122,-0.07385735213756561,1.0395002365112305,0.7225598096847534,0.767861545085907,0.8669707775115967,-1.7318804264068604,-1.1895966529846191,-0.9974522590637207,-1.6638902425765991,0.020038465037941933,-0.14350253343582153,0.08493635058403015,-0.03578035905957222,0.9989733099937439,0.7988080978393555,0.7393738031387329,0.814876914024353,-1.6582164764404297,-1.508978247642517,-1.4504756927490234,-1.6257811784744263,-0.7366613149642944,-0.23604924976825714,0.06944383680820465,0.3457031548023224,2.3616862297058105,0.19982407987117767,0.06731230020523071,0.4745137691497803,-1.0395516157150269,-0.055413395166397095,-0.30607160925865173,-0.7272787094116211,0.016067953780293465,-0.03974537178874016,0.2549031376838684,0.017950717359781265,-0.02592312917113304,-0.9995027780532837,-0.002860051579773426,0.024738410487771034,-0.04512597620487213,-4.000786781311035,0.001157587394118309,0.3244464099407196,0.9997879266738892,0.012843094766139984,0.009147455915808678,0.013248924165964127
7,0.14,-0.02528388611972332,-0.01544769387692213,0.052057087421417236,0.0164036825299263,-0.024701759219169617,-0.9995602965354919,0.0,0.0,0.25,-0.09330020844936371,-0.04678726941347122,-0.01187722384929657,0.06753987073898315,0.23760086297988892,0.00380706787109375,-0.05662357807159424,0.03482896089553833,-0.19923949241638184,-0.010597705841064453,0.0396122932434082,-0.14914703369140625,-0.018210938200354576,-0.005240348633378744,0.011004789732396603,-0.000736126909032464,0.06028342247009277,0.013070437125861645,0.01202793512493372,0.047539886087179184,-0.06427457183599472,-0.004414282273501158,-0.02798176184296608,-0.030739551410079002,-0.29732853174209595,0.6737991571426392,-0.8194236755371094,0.10457059741020203,0.958000659942627,-0.309760719537735,-0.12855395674705505,0.2678830623626709,-0.9275217056274414,1.2416133880615234,2.010190963745117,-0.6555607914924622,0.9573497772216797,-0.9573498368263245,-0.9573498368263245,0.9573497772216797,-0.0015320581151172519,0.026393279433250427,-0.3295746445655823,0.7134368419647217,-0.8623123168945312,0.12501415610313416,1.0495589971542358,-0.23516720533370972,-0.16270220279693604,0.33151090145111084,-1.0051170587539673,1.2124719619750977,2.0018582344055176,-0.7094766497612,0.01760634034872055,0.0783592090010643,-0.1155780777335167,-0.06874646246433258,1.0623897314071655,0.7412081956863403,0.7593244314193726,0.8828777074813843,-1.7512792348861694,-1.1968820095062256,-0.9995354413986206,-1.6773691177368164,0.0066997939720749855,-0.14678727090358734,0.08812277764081955,-0.032460134476423264,1.0376008749008179,0.8038070797920227,0.7433764338493347,0.8348289728164673,-1.6992394924163818,-1.5105977058410645,-1.4603877067565918,-1.6491470336914062,-0.3642187714576721,-0.10480696707963943,0.22009578347206116,-0.01472253818064928,1.2056684494018555,0.2614087462425232,0.2405586987733841,0.9507976770401001,-1.2854914665222168,-0.08828563988208771,-0.5596352219581604,-0.6147910356521606,-0.12641942501068115,-0.07723847031593323,0.2602854371070862,0.0164036825299263,-0.024701759219169617,-0.9995602965354919,-0.0015320581151172519,0.026393279433250427,-0.06664377450942993,-4.000855922698975,0.0017302475171163678,0.3232608735561371,0.9997642040252686,0.012220519594848156,0.008397717028856277,0.015866443514823914
8,0.16,-0.042141493409872055,-0.015160388313233852,0.05310513451695442,0.014633446000516415,-0.021391279995441437,-0.9996640682220459,0.0,0.0,0.25,-0.101005919277668,-0.04827370494604111,-0.0064578577876091,0.06592655181884766,0.2550352215766907,0.00975126028060913,-0.05063033103942871,0.05794847011566162,-0.22924494743347168,-0.013138413429260254,0.026358962059020996,-0.1644994020462036,-0.012224421836435795,-0.0017210595542564988,0.015398095361888409,-0.007781580090522766,0.023278458043932915,0.015090045519173145,0.015699289739131927,0.0509900264441967,-0.04755451902747154,-0.007336347829550505,-0.03478280454874039,-0.01905406266450882,-0.3295746445655823,0.7134368419647217,-0.8623123168945312,0.12501415610313416,1.0495589971542358,-0.23516720533370972,-0.16270220279693604,0.33151090145111084,-1.0051170587539673,1.2124719619750977,2.0018582344055176,-0.7094766497612,0.9938918352127075,-0.9938918352127075,-0.9938918352127075,0.9938918352127075,0.000405903352657333,0.028591211885213852,-0.3543822467327118,0.7360104322433472,-0.8886774778366089,0.14118385314941406,1.0956517457962036,-0.18071132898330688,-0.18868392705917358,0.3809772729873657,-1.0367777347564697,1.1771154403686523,1.9895503520965576,-0.7579556703567505,0.011404439806938171,0.08400260657072067,-0.1221693679690361,-0.0647040382027626,1.0739129781723022,0.7548221945762634,0.7528290152549744,0.8952443599700928,-1.7591943740844727,-1.205721139907837,-1.0026123523712158,-1.6894888877868652,-0.001005916972644627,-0.14827370643615723,0.09354214370250702,-0.034073445945978165,1.0550352334976196,0.8097512722015381,0.7493696808815002,0.8579484820365906,-1.7292449474334717,-1.5131384134292603,-1.473641037940979,-1.6644994020462036,-0.2444884330034256,-0.03442119061946869,0.30796191096305847,-0.15563160181045532,0.4655691683292389,0.3018009066581726,0.31398579478263855,1.0198005437850952,-0.9510903358459473,-0.14672695100307465,-0.6956560611724854,-0.3810812532901764,-0.21070745587348938,-0.07580193877220154,0.2655256688594818,0.014633446000516415,-0.021391279995441437,-0.9996640682220459,0.000405903352657333,0.028591211885213852,-0.08193086832761765,-4.000898838043213,0.0023486479185521603,0.32173892855644226,0.9997432827949524,0.010558703914284706,0.007514861412346363,0.018582703545689583
9,0.18,-0.05435885861515999,-0.004835710395127535,0.0532795749604702,0.01355772279202938,-0.016703512519598007,-0.9997685551643372,0.0,0.0,0.25,-0.10723035037517548,-0.04861631244421005,0.00027726590633392334,0.06426462531089783,0.26130586862564087,0.01629197597503662,-0.04435819387435913,0.07809829711914062,-0.24641919136047363,-0.01775813102722168,0.01155996322631836,-0.17673265933990479,-0.0127805694937706,0.000551705074030906,0.018391773104667664,-0.003679030342027545,0.007044676225632429,0.01647426001727581,0.014657064341008663,0.039952561259269714,-0.026939576491713524,-0.013697117567062378,-0.03728380426764488,-0.0161678958684206,-0.3543822467327118,0.7360104322433472,-0.8886774778366089,0.14118385314941406,1.0956517457962036,-0.18071132898330688,-0.18868392705917358,0.3809772729873657,-1.0367777347564697,1.1771154403686523,1.9895503520965576,-0.7579556703567505,0.9974132776260376,-0.9974132776260376,-0.9974132776260376,0.9974132776260376,0.001927898614667356,0.030648233368992805,-0.3833724856376648,0.7497411966323853,-0.9037519693374634,0.1605135202407837,1.0983623266220093,-0.13365468382835388,-0.19353783130645752,0.412015825510025,-1.0258498191833496,1.136594295501709,1.9745676517486572,-0.7937101125717163,0.004156880080699921,0.0874352976679802,-0.12593799829483032,-0.0598716214299202,1.0745905637741089,0.7665863633155823,0.7516155242919922,0.903003990650177,-1.7564624547958374,-1.2158514261245728,-1.0063581466674805,-1.6984275579452515,-0.007230350747704506,-0.14861631393432617,0.10027726739645004,-0.035735372453927994,1.0613058805465698,0.8162919878959656,0.7556418180465698,0.8780983090400696,-1.7464191913604736,-1.5177581310272217,-1.4884400367736816,-1.6767326593399048,-0.255611389875412,0.011034101247787476,0.36783546209335327,-0.07358060777187347,0.14089351892471313,0.3294852077960968,0.29314127564430237,0.7990512251853943,-0.5387915372848511,-0.27394235134124756,-0.7456761002540588,-0.3233579099178314,-0.27179428935050964,-0.024178551509976387,0.2663978636264801,0.01355772279202938,-0.016703512519598007,-0.9997685551643372,0.001927898614667356,0.030648233368992805,-0.09581255912780762,-4.000916004180908,0.003008016385138035,0.31993332505226135,0.9997158050537109,0.008206140249967575,0.006955391261726618,0.021271025761961937
