step,time_s,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,joint_q_9,joint_q_10,joint_q_11,joint_dq_0,joint_dq_1,joint_dq_2,joint_dq_3,joint_dq_4,joint_dq_5,joint_dq_6,joint_dq_7,joint_dq_8,joint_dq_9,joint_dq_10,joint_dq_11,ang_vel_0,ang_vel_1,ang_vel_2,projected_gravity_0,projected_gravity_1,projected_gravity_2,base_lin_vel_0,base_lin_vel_1,base_lin_vel_2,base_pos_0,base_pos_1,base_pos_2,base_quat_0,base_quat_1,base_quat_2,base_quat_3
1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246468525851679e-16,1.2246468525851679e-16,0.0,0.0,0.0,-0.4604245722293854,0.11812485754489899,-0.3473729193210602,0.7059401869773865,-0.18987514078617096,-0.2404632866382599,-0.24530386924743652,-0.057053759694099426,0.4577949643135071,0.4765826165676117,0.8660935163497925,0.7886377573013306,-0.015106143057346338,-0.07046878561377526,0.01315677016973496,0.07648504674434661,0.7525312148034573,0.7398841783404351,0.7386740326881409,0.7857365600764752,-1.3855512589216232,-1.380854345858097,-1.2834766209125519,-1.3028405606746674,0.1,-0.1,0.1,-0.1,0.8,0.8,0.8,0.8,-1.5,-1.5,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.324,1.0,0.0,0.0,0.0
2,0.02,0.006249253172427416,0.05513865873217583,0.019921952858567238,0.002822167705744505,-0.00027146926731802523,-0.9999960064888,0.0,0.0,0.25,-0.0022883221972733736,-0.004647542256861925,0.0019451380940154195,0.0053060902282595634,-0.00663847615942359,-0.008221807889640331,-0.01728934422135353,-0.009488997049629688,0.017936786636710167,0.023469045758247375,0.050463125109672546,0.0394296832382679,0.00301669305190444,-0.015643402934074402,0.011703800410032272,-0.002485051052644849,0.006948609836399555,0.008101243525743484,-0.013392164371907711,-0.0008069075411185622,-0.03061738982796669,-0.02026955783367157,0.016377409920096397,0.002814910840243101,-0.4604245722293854,0.11812485754489899,-0.3473729193210602,0.7059401869773865,-0.18987514078617096,-0.2404632866382599,-0.24530386924743652,-0.057053759694099426,0.4577949643135071,0.4765826165676117,0.8660935163497925,0.7886377573013306,0.181514710187912,-0.181514710187912,-0.181514710187912,0.181514710187912,-0.006923176813870668,-0.0014293779386207461,-0.1360849142074585,0.15480834245681763,-0.38427042961120605,0.26570838689804077,-0.14798006415367126,-0.6485095024108887,-0.2501332759857178,-0.10604055225849152,0.7198591828346252,1.2017700672149658,1.3872417211532593,0.473199725151062,0.06597877144813538,-0.0612979143857956,0.003932392597198492,-0.03357290327548981,0.7630049839615822,0.6378726243972779,0.7374666810035706,0.7734898619353772,-1.3200352042913437,-1.1995574831962585,-1.1531895697116852,-1.3817000687122345,0.09771167771191792,-0.10464754247775247,0.10194513807643256,-0.09469390984484931,0.7933615237746904,0.7917781918056012,0.7827106557031366,0.7905110032745696,-1.4820632131604792,-1.4765309551347645,-1.4495368742918677,-1.4605703150635663,0.060333860109841264,-0.31286805447843474,0.23407600971462583,-0.049701021068712006,0.1389721940130251,0.16202486353273354,-0.26784328749545494,-0.016138150523207495,-0.6123478124038102,-0.40539115025625894,0.32754820413516805,0.05629821778545652,0.031246265570901495,0.27569329868555115,0.0996097612645217,0.0028221677432429277,-0.0002714692761522468,-0.9999959808287538,-0.006923176615626615,-0.0014293778858540038,-0.06309621054782433,-7.682755402333023e-05,-1.5814927453979154e-05,0.32313574525501215,0.9999968355770097,0.00023407987080088292,0.0023619252673397605,0.0008338774567766176
3,0.04,0.04460323229432106,0.08419058471918106,0.0442960187792778,0.01088216993957758,-0.0031170861329883337,-0.9999359250068665,0.0,0.0,0.25,-0.005392487160861492,-0.01364076603204012,0.002990396460518241,0.003273462411016226,-0.0049574850127100945,-0.0056111179292202,-0.02499152533710003,-0.008482442237436771,-0.0032834522426128387,0.006651907693594694,0.0468512624502182,0.027753304690122604,-0.013467662036418915,-0.024523014202713966,-0.0015383464051410556,-0.004294402897357941,-0.0028039964381605387,0.002165901241824031,-0.028991417959332466,-0.0030962738674134016,-0.050746217370033264,-0.040722593665122986,-0.003853399306535721,-0.027654217556118965,-0.1360849142074585,0.15480834245681763,-0.38427042961120605,0.26570838689804077,-0.14798006415367126,-0.6485095024108887,-0.2501332759857178,-0.10604055225849152,0.7198591828346252,1.2017700672149658,1.3872417211532593,0.473199725151062,0.35699886083602905,-0.35699886083602905,-0.35699886083602905,0.35699886083602905,-0.023382112383842468,-0.003203093074262142,0.0005306452512741089,0.06175503879785538,-0.4762728214263916,0.07465870678424835,0.1716497242450714,-0.6533300876617432,-0.04389980435371399,0.05185895040631294,0.5587658286094666,1.4424289464950562,1.818296194076538,-0.14987148344516754,0.10013266131281853,-0.08456124030053616,-0.019068205356597895,-0.08133532330393792,0.8429124310612679,0.6366674780845643,0.7890250489115715,0.8129647376015783,-1.3603085428476334,-1.139392763376236,-1.0454259514808655,-1.5374678708612919,0.0946075127670078,-0.11364076596804976,0.10299039650450574,-0.09672653751934812,0.7950425148977182,0.7943888819706166,0.7750084744796695,0.7915175574048264,-1.503283452166932,-1.4933480920922015,-1.4531487381463368,-1.4722466947051724,-0.2693532396511915,-0.4904602895905435,-0.03076692913797615,-0.08588805987865766,-0.05607992822531971,0.04331802479305491,-0.5798283580500928,-0.061925476160344176,-1.0149243440396254,-0.8144518483565332,-0.07706798574513157,-0.5530843602501944,0.22301616272846284,0.4209529135242446,0.2214800952717841,0.010882169681778355,-0.0031170862255891587,-0.9999359290256946,-0.023382112381227664,-0.003203093116971431,0.01480915924037311,-0.0004253981053189982,-6.525404070906526e-05,0.32283234901978447,0.9999723870583225,0.0021608178615153597,0.006493184872131832,0.0028973327848442715
4,0.05999999999999999,0.1346776932477951,0.036961354315280914,0.07262653857469559,0.016860008239746094,-0.01286764070391655,-0.9997750520706177,0.0,0.0,0.25,-0.01971268095076084,-0.030816394835710526,-0.003837666707113385,0.009138064458966255,-0.010483413934707642,-0.0065221949480473995,-0.04036029055714607,0.0037906712386757135,-0.011386158876121044,0.0007315879920497537,0.05706639587879181,-0.013855825178325176,-0.04503002390265465,-0.049541812390089035,-0.022250331938266754,0.02171880565583706,-0.021222639828920364,-0.005064901430159807,-0.041482485830783844,0.030966350808739662,0.0006818728288635612,0.00199919193983078,0.04027971625328064,-0.09191545099020004,0.0005306452512741089,0.06175503879785538,-0.4762728214263916,0.07465870678424835,0.1716497242450714,-0.6533300876617432,-0.04389980435371399,0.05185895040631294,0.5587658286094666,1.4424289464950562,1.818296194076538,-0.14987148344516754,0.5206222534179688,-0.5206222534179688,-0.5206222534179688,0.5206222534179688,-0.020906850695610046,-0.0034413423854857683,-0.0342111736536026,0.17410613596439362,-0.6115326881408691,0.0471828430891037,0.6746230721473694,-0.6798015832901001,-0.007303081452846527,0.03714264929294586,-0.27381086349487305,1.3070814609527588,1.8701767921447754,-0.47413963079452515,0.09144720658659936,-0.0564734660089016,-0.05288317203521728,-0.08820428922772408,0.9686557680368424,0.630049604177475,0.7981742296367884,0.8092856623232365,-1.5684527158737183,-1.1732296347618103,-1.0324558019638062,-1.6185349076986313,0.08028731899839374,-0.1308163954671177,0.09616233329770443,-0.09086193576069815,0.7895165856556358,0.7934778049734148,0.759639709072282,0.8037906712480213,-1.5113861585786443,-1.4992684120153614,-1.4429336029746067,-1.513855824886167,-0.9006004473998391,-0.9908362775391306,-0.4450066517790297,0.43437612143522203,-0.4244527895505177,-0.10129803026727202,-0.829649735257287,0.6193270099650393,0.013637456285944871,0.039983839127253035,0.8055943234251614,-1.8383090036318759,0.6733884391971415,0.18480676270198548,0.3631327097388345,0.016860008467650234,-0.012867640839680904,-0.9997750566670942,-0.020906850420623898,-0.0034413423595776745,0.07109372478604933,-0.0008460504929503667,-0.00014899817221334773,0.3238522879575937,0.9999081400755526,0.008205504983317622,0.008749210848542266,0.0063112921137632744
5,0.08,0.11962946504354477,0.021080732345581055,0.08511655777692795,0.01886855438351631,-0.026334619149565697,-0.9994751214981079,0.0,0.0,0.25,-0.04327671229839325,-0.04933071509003639,-0.011340341530740261,0.0262749120593071,0.03992495685815811,-0.009491420350968838,-0.05737144872546196,0.014704251661896706,-0.05874289944767952,0.006325611844658852,0.07618376612663269,-0.07779772579669952,-0.050895169377326965,-0.04291997477412224,-0.014524679630994797,0.04614143818616867,0.17087680101394653,-0.008508761413395405,-0.042090654373168945,0.008076014928519726,-0.09926604479551315,0.018594250082969666,0.04924280568957329,-0.13616113364696503,-0.0342111736536026,0.17410613596439362,-0.6115326881408691,0.0471828430891037,0.6746230721473694,-0.6798015832901001,-0.007303081452846527,0.03714264929294586,-0.27381086349487305,1.3070814609527588,1.8701767921447754,-0.47413963079452515,0.6669487357139587,-0.6669487357139587,-0.6669487357139587,0.6669487357139587,-0.011784006841480732,0.005936556961387396,-0.17789389193058014,0.4713289439678192,-0.6989495754241943,0.06338643282651901,0.8562830686569214,-0.5854628682136536,-0.028666533529758453,0.08628470450639725,-0.7111974954605103,1.3137398958206177,1.9719908237457275,-0.47037166357040405,0.05552652701735497,0.017832235991954798,-0.07473739385604858,-0.08415339179337025,1.0140707671642304,0.6536342829465867,0.7928333666175604,0.8215711761265994,-1.6777993738651276,-1.1715650260448456,-1.0070022940635681,-1.617592915892601,0.05672328700341545,-0.1493307143790588,0.08865965893156907,-0.07372508735628835,0.8399249559323039,0.7905085799762002,0.7426285495195831,0.8147042516126264,-1.5587428979408349,-1.493674388221351,-1.4238162350633725,-1.5777977270952255,-1.0179034141000793,-0.8583994736204368,-0.2904935892663935,0.9228287859289073,3.41753614955008,-0.1701752343773663,-0.8418130818005523,0.16152030780530757,-1.9853209599763493,0.371884988200441,0.9848561238252496,-2.7232228197057404,0.5981473281604383,0.10540366162510431,0.4255827829266655,0.018868554138620906,-0.026334619807762107,-0.9994750949695037,-0.011784007159363091,0.005936556762691732,0.06175110744245958,-0.0011108175584518805,-0.00011665264995962572,0.32514342905093474,0.9997927865132089,0.014441040327319177,0.009809684274349197,0.010469502607831638
6,0.10000000000000002,0.05381423979997635,0.020792504772543907,0.08865382522344589,0.020728111267089844,-0.034398552030324936,-0.9991931915283203,0.0,0.0,0.25,-0.06649129092693329,-0.061285361647605896,-0.012515692040324211,0.04564746096730232,0.1373600959777832,-0.012752389535307884,-0.07326052337884903,0.010429010726511478,-0.13850966095924377,0.014821100048720837,0.09481516480445862,-0.10703857243061066,-0.04765336960554123,-0.02450055442750454,0.0027725398540496826,0.044735122472047806,0.23999065160751343,-0.007975338958203793,-0.03741999343037605,-0.01749727874994278,-0.15723052620887756,0.022809486836194992,0.04395149648189545,-0.041817646473646164,-0.17789389193058014,0.4713289439678192,-0.6989495754241943,0.06338643282651901,0.8562830686569214,-0.5854628682136536,-0.028666533529758453,0.08628470450639725,-0.7111974954605103,1.3137398958206177,1.9719908237457275,-0.47037166357040405,0.7911167740821838,-0.7911167740821838,-0.7911167740821838,0.7911167740821838,-0.005887805949896574,0.004745475947856903,-0.2950989007949829,0.5829928517341614,-0.7400245666503906,0.06277298927307129,0.9297759532928467,-0.5703227519989014,-0.053339555859565735,0.15270966291427612,-0.8867056369781494,1.4164341688156128,2.011171817779541,-0.5197826027870178,0.026225274801254278,0.04574821293354034,-0.08500614166259765,-0.08430675268173218,1.0324439883232117,0.6574193120002747,0.7866651110351086,0.8381774157285691,-1.7216764092445374,-1.1458914577960968,-0.9972070455551147,-1.6299456506967545,0.03350870592152155,-0.16128536248431125,0.08748430835896955,-0.05435253853810683,0.937360090941078,0.7872476100825713,0.7267394759065245,0.8104290104161621,-1.6385096589496386,-1.4851788999443984,-1.4051848371867859,-1.6070385749028142,-0.9530673653733234,-0.4900110900771664,0.055450798891110695,0.8947024346469724,4.799812962040077,-0.1595067778377026,-0.748399878898592,-0.34994556948332867,-3.144610474731293,0.4561897521560629,0.8790299132343172,-0.8363529488038355,0.26907119777801736,0.10396252473819569,0.4432691392503899,0.02072811129414286,-0.03439855107781242,-0.9991932170936337,-0.005887805823750931,0.004745476038023423,0.055385879329860305,-0.001235536978996454,-3.6301940622680084e-05,0.3262956298068347,0.9996760003195012,0.017595203654667588,0.01082752474831023,0.014868352342498833
7,0.12000000000000004,0.018391581252217293,0.004278598353266716,0.09549575299024582,0.021535377949476242,-0.03762258589267731,-0.9990599155426025,0.0,0.0,0.25,-0.08640597015619278,-0.06870778650045395,-0.008999024517834187,0.05899509787559509,0.22048546373844147,-0.015660909935832024,-0.08605138212442398,0.010344995185732841,-0.19056013226509094,0.026149950921535492,0.11032497137784958,-0.1213596984744072,-0.04125966504216194,-0.015290926210582256,0.012359965592622757,0.024387264624238014,0.1686450093984604,-0.0069886683486402035,-0.02877192012965679,0.006290371064096689,-0.08596724271774292,0.03146430850028992,0.03546398878097534,-0.024293817579746246,-0.2950989007949829,0.5829928517341614,-0.7400245666503906,0.06277298927307129,0.9297759532928467,-0.5703227519989014,-0.053339555859565735,0.15270966291427612,-0.8867056369781494,1.4164341688156128,2.011171817779541,-0.5197826027870178,0.8890011310577393,-0.8890011310577393,-0.8890011310577393,0.8890011310577393,-0.004396609030663967,0.0018893115920946002,-0.3400461971759796,0.6257981061935425,-0.7968634366989136,0.049018774181604385,1.0559483766555786,-0.5417605638504028,-0.06096060574054718,0.21161985397338867,-1.0734201669692993,1.4553170204162598,2.0337448120117188,-0.5829612612724304,0.014988450706005102,0.056449526548385615,-0.09921585917472839,-0.08774530645459891,1.0639870941638947,0.6645598590373993,0.7847598485648632,0.8529049634933472,-1.7683550417423248,-1.136170744895935,-0.9915637969970703,-1.6457403153181076,0.013594030561738921,-0.16870778380410703,0.09100097546045996,-0.04100490260664637,1.0204854708338476,0.7843390891622751,0.7139486184170957,0.8103449955270088,-1.6905601277637716,-1.4738500485093098,-1.3896750258838828,-1.621359696624439,-0.8251933232064457,-0.30581852194004316,0.24719931826623076,0.4877452818581214,3.3729000474724016,-0.139773371131055,-0.575438403976186,0.1258074182904479,-1.7193449052807814,0.6292861664134766,0.7092798083443822,-0.48587636139407653,0.09195790442668342,0.021392992384144785,0.47747878194047033,0.02153537783381389,-0.03762258580262211,-0.9990599424154087,-0.004396609091390261,0.0018893115782327614,0.056047613712552256,-0.0013041833533689261,-1.4152548263864905e-05,0.3274167372031343,0.9995705251023268,0.018759612597312323,0.011097766746783668,0.019587798628014595
8,0.14000000000000004,-0.0020621703006327152,-0.015049065463244915,0.1000748723745346,0.020383067429065704,-0.03832263872027397,-0.9990575313568115,0.0,0.0,0.25,-0.10258357226848602,-0.07347577810287476,-0.0028210931923240423,0.06175156310200691,0.2720436453819275,-0.017828427255153656,-0.09508048743009567,0.021669339388608932,-0.23362849652767181,0.0404745489358902,0.12213964015245438,-0.1352587342262268,-0.030663006007671356,-0.0095060458406806,0.017870483919978142,-0.003289471846073866,0.09090721607208252,-0.004845143761485815,-0.019167443737387657,0.033773165196180344,-0.08556194603443146,0.03807225078344345,0.026013167575001717,-0.026585042476654053,-0.3400461971759796,0.6257981061935425,-0.7968634366989136,0.049018774181604385,1.0559483766555786,-0.5417605638504028,-0.06096060574054718,0.21161985397338867,-1.0734201669692993,1.4553170204162598,2.0337448120117188,-0.5829612612724304,0.9573497772216797,-0.9573497772216797,-0.9573497772216797,0.9573497772216797,-0.0022956288885325193,-0.0008754247683100402,-0.3567846119403839,0.6396574974060059,-0.8233875036239624,0.05559314787387848,1.1799877882003784,-0.5363497138023376,-0.10041506588459015,0.25185003876686096,-1.1804654598236084,1.4611562490463257,2.0384433269500732,-0.5809835195541382,0.010803847014904028,0.05991437435150146,-0.1058468759059906,-0.08610171303153039,1.0949969470500946,0.6659125715494156,0.7748962335288525,0.8629625096917153,-1.795116364955902,-1.1347109377384186,-0.9903891682624817,-1.6452458798885345,-0.0025835732896767197,-0.17347577885982102,0.09717890688149682,-0.03824843516789988,1.0720436490718643,0.7821715719445194,0.7049195133427502,0.8216693396240882,-1.7336284929106953,-1.45952545197055,-1.3778603617423304,-1.6352587353825043,-0.6132601126059317,-0.19012091399074713,0.3574096715715849,-0.06578943560064116,1.8181443059859896,-0.0969028775334753,-0.38334885893154436,0.6754633201690499,-1.7112388775357066,0.7614450208382154,0.5202633419863633,-0.5317008540877106,-0.010310851626259655,-0.07524532911417665,0.5003743555477209,0.0203830680185587,-0.03832263874066025,-0.9990575088042246,-0.002295628787123272,-0.0008754247618336986,0.052009024661473016,-0.0013396339109508421,-4.6239458837459674e-05,0.32848200011440726,0.9994670832109425,0.018840193119813702,0.010377198302859329,0.024554234999324583
9,0.16000000000000006,-0.02592170052230358,-0.02660476230084896,0.0997917503118515,0.01772075518965721,-0.03679784759879112,-0.9991655945777893,0.0,0.0,0.25,-0.11168733239173889,-0.07553093880414963,0.005744575057178736,0.05656358599662781,0.2964491546154022,-0.019425367936491966,-0.10078975558280945,0.03775734081864357,-0.2697822153568268,0.056574806571006775,0.13030046224594116,-0.1400957703590393,-0.01433517038822174,-0.0027431349735707045,0.02307445928454399,-0.017742358148097992,0.03658228740096092,-0.003620309056714177,-0.01102543156594038,0.04036809876561165,-0.07039107382297516,0.041102174669504166,0.01676887832581997,-0.004058585502207279,-0.3567846119403839,0.6396574974060059,-0.8233875036239624,0.05559314787387848,1.1799877882003784,-0.5363497138023376,-0.10041506588459015,0.25185003876686096,-1.1804654598236084,1.4611562490463257,2.0384433269500732,-0.5809835195541382,0.9938918352127075,-0.9938918352127075,-0.9938918352127075,0.9938918352127075,0.0006648659473285079,-0.0034959393087774515,-0.3681880831718445,0.6242899894714355,-0.8145363330841064,0.0546962209045887,1.2538111209869385,-0.5536405444145203,-0.14437314867973328,0.2797479033470154,-1.2270671129226685,1.4632359743118286,2.0302772521972656,-0.5676718950271606,0.007952979207038885,0.05607249736785888,-0.1036340832710266,-0.08632594477385283,1.1134527802467347,0.66158986389637,0.7639067128300667,0.8699369758367539,-1.8067667782306671,-1.1341910064220428,-0.9924306869506836,-1.6419179737567902,-0.011687334923608392,-0.17553093647064588,0.10574457502324289,-0.043436413703544785,1.0964491504188207,0.7805746313906448,0.6992102473587963,0.8377573410090744,-1.7697822022417362,-1.443425192961558,-1.369699540086198,-1.640095768282492,-0.2867034130625778,-0.054862701666276034,0.4614891925867097,-0.35484716042921527,0.7316457498974216,-0.07240617901902692,-0.220508623313101,0.8073619862590986,-1.4078214935289606,0.8220434592918041,0.3353775513101703,-0.08117170870867509,-0.12960850492968576,-0.13302381034443408,0.4989587430126093,0.017720754406038867,-0.036797846758107704,-0.9991655985557382,0.0006648659757880412,-0.0034959393533674013,0.04574068845198002,-0.0013228942609806904,-0.00013481371436695587,0.3294412548840235,0.9993650355339064,0.017781919328109186,0.008991441677360075,0.029537824460930548
10,0.18000000000000008,-0.040541984140872955,-0.02927255444228649,0.09668244421482086,0.014469829387962818,-0.03336108475923538,-0.9993386268615723,0.0,0.0,0.25,-0.11568368226289749,-0.07566861808300018,0.015707628801465034,0.04839414358139038,0.3048146665096283,-0.020652633160352707,-0.1042918711900711,0.052924152463674545,-0.29275813698768616,0.07284767925739288,0.13537804782390594,-0.13783808052539825,-0.006514511536806822,0.0007530040456913412,0.02561933919787407,-0.020666228607296944,0.01004900224506855,-0.002613835036754608,-0.00784559827297926,0.0345199778676033,-0.04120144248008728,0.03980091214179993,0.010879086330533028,0.007927831262350082,-0.3681880831718445,0.6242899894714355,-0.8145363330841064,0.0546962209045887,1.2538111209869385,-0.5536405444145203,-0.14437314867973328,0.2797479033470154,-1.2270671129226685,1.4632359743118286,2.0302772521972656,-0.5676718950271606,0.9974132776260376,-0.9974132776260376,-0.9974132776260376,0.9974132776260376,0.0031801878940314054,-0.004938686732202768,-0.38011693954467773,0.6013185381889343,-0.7956165075302124,0.0534704215824604,1.275193691253662,-0.5737399458885193,-0.16267362236976624,0.28551843762397766,-1.2268433570861816,1.4567323923110962,2.0192999839782715,-0.5453099608421326,0.004970765113830572,0.050329634547233576,-0.0989041268825531,-0.0866323946043849,1.1187984228134156,0.6565650135278702,0.7593315944075585,0.8713796094059945,-1.8067108392715454,-1.135816901922226,-0.9951750040054321,-1.6363274902105331,-0.0156836844213106,-0.17566861763737324,0.11570762876035581,-0.051605857403199645,1.1048146646467025,0.779347366594355,0.6957081291539334,0.8529241511844647,-1.7927581416833762,-1.4271523175639396,-1.3646219486123032,-1.6378380761500855,-0.1302902339377936,0.015060081314900525,0.5123867805090033,-0.4133245589053025,0.20098004601860867,-0.052276698502010326,-0.15691197335443935,0.6903995348630784,-0.8240288391729594,0.796018266037809,0.2175817217193704,0.15855663111099766,-0.20270991498149635,-0.14636277503876813,0.4834122068849829,0.014469829275050352,-0.033361083478372834,-0.9993386123581428,0.003180187963802092,-0.004938686957617515,0.037224162525697276,-0.0012577451883867099,-0.00024484774335520467,0.33024802043842844,0.999254649354015,0.015928166618371566,0.007390424345482382,0.0343776217989959
