step,time_s,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,joint_q_9,joint_q_10,joint_q_11,joint_dq_0,joint_dq_1,joint_dq_2,joint_dq_3,joint_dq_4,joint_dq_5,joint_dq_6,joint_dq_7,joint_dq_8,joint_dq_9,joint_dq_10,joint_dq_11,ang_vel_0,ang_vel_1,ang_vel_2,projected_gravity_0,projected_gravity_1,projected_gravity_2,base_lin_vel_0,base_lin_vel_1,base_lin_vel_2,base_pos_0,base_pos_1,base_pos_2,base_quat_0,base_quat_1,base_quat_2,base_quat_3
1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246468525851679e-16,1.2246468525851679e-16,0.0,0.0,0.0,-0.4604245722293854,0.11812485754489899,-0.3473729193210602,0.7059401869773865,-0.18987514078617096,-0.2404632866382599,-0.24530386924743652,-0.057053759694099426,0.4577949643135071,0.4765826165676117,0.8660935163497925,0.7886377573013306,-0.015106143057346338,-0.07046878561377526,0.01315677016973496,0.07648504674434661,0.7525312148034573,0.7398841783404351,0.7386740326881409,0.7857365600764752,-1.3855512589216232,-1.380854345858097,-1.2834766209125519,-1.3028405606746674,0.1,-0.1,0.1,-0.1,0.8,0.8,0.8,0.8,-1.5,-1.5,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.324,1.0,0.0,0.0,0.0
2,0.02,0.006790244020521641,0.04333976283669472,0.019474033266305923,0.0025668672751635313,-0.00026712060207501054,-0.9999966621398926,0.0,0.0,0.25,-0.0023215143010020256,-0.005127523094415665,0.002942429156973958,0.004873771220445633,-0.0033462161663919687,-0.00486877141520381,-0.013037137687206268,-0.005170019343495369,0.011257174424827099,0.017451142892241478,0.04467088729143143,0.03300211951136589,-0.0017795513849705458,-0.011196339502930641,0.006630736868828535,0.0006893472163937986,0.024666408076882362,0.028126079589128494,0.014693021774291992,0.022404197603464127,-0.08492064476013184,-0.07942653447389603,-0.06575360894203186,-0.06605777144432068,-0.4604245722293854,0.11812485754489899,-0.3473729193210602,0.7059401869773865,-0.18987514078617096,-0.2404632866382599,-0.24530386924743652,-0.057053759694099426,0.4577949643135071,0.4765826165676117,0.8660935163497925,0.7886377573013306,0.181514710187912,-0.181514710187912,-0.181514710187912,0.181514710187912,-0.006652801763266325,-0.0011687162332236767,-0.16498412191867828,0.1696663796901703,-0.39906880259513855,0.298682302236557,-0.12437625229358673,-0.5996650457382202,-0.23751944303512573,-0.10981611907482147,0.7960503697395325,1.268061876296997,1.4585274457931519,0.5680099129676819,0.058753969520330435,-0.057583405077457434,0.0002327993512153681,-0.025329424440860754,0.7689059369266034,0.650083738565445,0.7406201392412186,0.7725459702312947,-1.3009874075651169,-1.1829845309257507,-1.135368138551712,-1.3579975217580795,0.09767848575624787,-0.10512752299418346,0.10294242919524368,-0.09512622858918926,0.7966537838364828,0.7951312285630371,0.7869628625513325,0.7948299805011662,-1.4887428260031996,-1.482548857181307,-1.4553291135730921,-1.46699787988391,-0.03559102756153539,-0.22392678246639974,0.13261473692219253,0.01378694375105153,0.49332814365396105,0.5625216051744801,0.2938604267968793,0.4480839545153947,-1.6984128333757147,-1.5885306422432404,-1.3150721695781287,-1.321155364531359,0.033951219330869725,0.2166988077652428,0.09737016812252762,0.0025668672870962977,-0.00026712060154148283,-0.9999966699139128,-0.006652801760298645,-0.001168716208995512,-0.0719345837395609,-6.770250233529112e-05,-1.3112501328716485e-05,0.3230063425088607,0.9999972051972656,0.00024509386439656034,0.002190889174772099,0.0008541260325658202
3,0.04,0.04694955050945282,0.08904776722192764,0.0445094034075737,0.010804188437759876,-0.003394640749320388,-0.9999358654022217,0.0,0.0,0.25,-0.006571862380951643,-0.014124047942459583,0.002902823267504573,0.003124766983091831,-0.0047440435737371445,-0.005095514468848705,-0.024291707202792168,-0.007453635800629854,-0.006917616352438927,0.003409761004149914,0.044567741453647614,0.024071024730801582,-0.014298207126557827,-0.024748660624027252,-0.0021743234246969223,-0.00395557563751936,-0.015831155702471733,-0.01014758087694645,-0.044974006712436676,-0.01879810355603695,-0.02704530768096447,-0.018137294799089432,0.026409083977341652,0.0010088944109156728,-0.16498412191867828,0.1696663796901703,-0.39906880259513855,0.298682302236557,-0.12437625229358673,-0.5996650457382202,-0.23751944303512573,-0.10981611907482147,0.7960503697395325,1.268061876296997,1.4585274457931519,0.5680099129676819,0.35699886083602905,-0.35699886083602905,-0.35699886083602905,0.35699886083602905,-0.022329913452267647,-0.002834608778357506,0.01581265777349472,0.03818143904209137,-0.43660807609558105,0.05173715576529503,0.13865645229816437,-0.6883503794670105,-0.06099984049797058,0.07698516547679901,0.5615510940551758,1.4236910343170166,1.7669637203216553,-0.19422627985477448,0.10395316444337369,-0.09045464023947716,-0.009152019023895258,-0.08706571105867625,0.8346641130745411,0.6279124051332474,0.7847500398755074,0.8192462913691998,-1.359612226486206,-1.1440772414207458,-1.0582590699195862,-1.5485565699636936,0.09342813743301885,-0.11412404780957432,0.10290282325238737,-0.09687523290704748,0.7952559563195529,0.7949044856173721,0.7757082924268616,0.7925463640828823,-1.5069176162975346,-1.4965902389398038,-1.4554322591369666,-1.4759289755226608,-0.2859641410471921,-0.49497320640540793,-0.04348647011979918,-0.07911151659355468,-0.31662310834474017,-0.2029516155443105,-0.899480107651545,-0.375962064387928,-0.5409061447202318,-0.3627459065363451,0.5281816696807985,0.020177887296580654,0.23474775808221407,0.44523882291265104,0.22254701482892195,0.010804188793335947,-0.003394640853387337,-0.9999358709027271,-0.02232991433267877,-0.0028346087968042235,0.035353108287106465,-0.00040817416307150375,-5.594721086770358e-05,0.3229586645089739,0.9999718898535894,0.002303364156543045,0.0065067624057346014,0.0029284909422992427
4,0.05999999999999999,0.13243602216243744,0.037828363478183746,0.07263821363449097,0.016827000305056572,-0.013374407775700092,-0.9997689723968506,0.0,0.0,0.25,-0.021297458559274673,-0.032269638031721115,-0.004040235187858343,0.011059318669140339,-0.013660316355526447,-0.00938985776156187,-0.042615458369255066,0.006961235776543617,-0.006149575114250183,0.006207340396940708,0.06266825646162033,-0.02380562387406826,-0.04314669966697693,-0.05018303915858269,-0.02118663676083088,0.025142841041088104,-0.026777071878314018,-0.01126919686794281,-0.0444294698536396,0.026263637468218803,0.018596170470118523,0.019726455211639404,0.05116744339466095,-0.0679401308298111,0.01581265777349472,0.03818143904209137,-0.43660807609558105,0.05173715576529503,0.13865645229816437,-0.6883503794670105,-0.06099984049797058,0.07698516547679901,0.5615510940551758,1.4236910343170166,1.7669637203216553,-0.19422627985477448,0.5206222534179688,-0.5206222534179688,-0.5206222534179688,0.5206222534179688,-0.020512975752353668,-0.0019883199129253626,-0.02293471246957779,0.16420207917690277,-0.5958906412124634,0.03839424252510071,0.6818172931671143,-0.6729085445404053,-0.01002725213766098,0.04420511797070503,-0.3155287504196167,1.2849558591842651,1.8575694561004639,-0.4970928430557251,0.09426632188260556,-0.05894948020577431,-0.04897266030311584,-0.09040143936872483,0.9704543232917786,0.6317728638648987,0.7974931869655848,0.8110512794926763,-1.5788821876049042,-1.1787610352039337,-1.035607635974884,-1.6242732107639313,0.078702541923833,-0.13226963956164095,0.09595976488859813,-0.08894068115783896,0.7863396831820412,0.7906101422685909,0.7573845424976005,0.806961235723609,-1.506149575176575,-1.493792659537307,-1.437331740282483,-1.5238056238633533,-0.8629339801150642,-1.0036607565936835,-0.42373273511108706,0.5028568148128638,-0.5355414463324593,-0.22538393298678322,-0.8885893844215925,0.5252727589894944,0.37192341278794333,0.3945290881547064,1.0233488337908891,-1.3588026845544965,0.662180140574731,0.18914181149758283,0.36319106906481635,0.016827000644078154,-0.013374407362797337,-0.9997689619492193,-0.0205129756065266,-0.0019883199227584284,0.0830650889807369,-0.0008092183920685233,-0.00012897129627748773,0.3242697330599465,0.9999062648072778,0.008395655252810318,0.008735294768821893,0.006377240573820656
5,0.08,0.1089850440621376,0.02039308287203312,0.08044259250164032,0.0188182070851326,-0.025898514315485954,-0.9994874596595764,0.0,0.0,0.25,-0.04432917758822441,-0.049692731350660324,-0.010250928811728954,0.028575697913765907,0.0467783659696579,-0.012517512775957584,-0.05884996056556702,0.016101356595754623,-0.06761091947555542,0.013247193768620491,0.08158709853887558,-0.08422181010246277,-0.038117416203022,-0.0391390435397625,-0.012115173041820526,0.039993103593587875,0.17772002518177032,-0.007758749648928642,-0.03874801844358444,-0.007478510495275259,-0.06358575075864792,0.018375247716903687,0.045611657202243805,-0.09705730527639389,-0.02293471246957779,0.16420207917690277,-0.5958906412124634,0.03839424252510071,0.6818172931671143,-0.6729085445404053,-0.01002725213766098,0.04420511797070503,-0.3155287504196167,1.2849558591842651,1.8575694561004639,-0.4970928430557251,0.6669487357139587,-0.6669487357139587,-0.6669487357139587,0.6669487357139587,-0.009926063008606434,0.00652953889220953,-0.20201167464256287,0.48649922013282776,-0.6889865398406982,0.07050640881061554,0.8510997891426086,-0.5976790189743042,-0.024362660944461823,0.07950504124164581,-0.755852222442627,1.2823013067245483,1.956013560295105,-0.47648072242736816,0.04949708133935929,0.021624805033206934,-0.07224663496017455,-0.08237339779734612,1.0127749472856522,0.650580245256424,0.7939093347638846,0.8198762603104115,-1.6889630556106567,-1.179424673318863,-1.0109966099262238,-1.619120180606842,0.05567082121963093,-0.14969273020993829,0.08974907097874671,-0.07142430259235605,0.846778366467166,0.7874824872921103,0.7411500384504625,0.816101357359238,-1.567610919507143,-1.4867528057674138,-1.4184129036102202,-1.5842218071924783,-0.7623483102501794,-0.7827809063372977,-0.24230345856340563,0.7998620410822069,3.5544004348513827,-0.15517499614953856,-0.7749603976835919,-0.14957021295937034,-1.2717150489666142,0.36750494377603693,0.9122331703754499,-1.941146105605544,0.5449252217747986,0.10196541856888101,0.40221296683463525,0.018818206926027595,-0.025898515115604225,-0.9994874396423886,-0.009926063128446901,0.006529538856479889,0.06607460999441846,-0.0010354861828660133,-7.03831402719842e-05,0.3256606719336584,0.9997989404872242,0.014091797862656977,0.009773970741412182,0.01039082910882603
6,0.10000000000000002,0.04846910014748573,0.02004392258822918,0.08311910927295685,0.02076151594519615,-0.03292575478553772,-0.9992421269416809,0.0,0.0,0.25,-0.06633208692073822,-0.06018277257680893,-0.010643537156283855,0.0464499369263649,0.1479278802871704,-0.015297011472284794,-0.07365407049655914,0.007767315488308668,-0.14653617143630981,0.020676882937550545,0.09854302555322647,-0.1040172353386879,-0.039881184697151184,-0.021884333342313766,0.003101901151239872,0.04129444435238838,0.22421017289161682,-0.006786556448787451,-0.034777529537677765,-0.022226691246032715,-0.09859970211982727,0.020295800641179085,0.03989958018064499,-0.03205528482794762,-0.20201167464256287,0.48649922013282776,-0.6889865398406982,0.07050640881061554,0.8510997891426086,-0.5976790189743042,-0.024362660944461823,0.07950504124164581,-0.755852222442627,1.2823013067245483,1.956013560295105,-0.47648072242736816,0.7911167740821838,-0.7911167740821838,-0.7911167740821838,0.7911167740821838,-0.004959482233971357,0.0041178809478878975,-0.31188198924064636,0.594321608543396,-0.7359721660614014,0.06183674931526184,0.9394562840461731,-0.5870707035064697,-0.04789523780345917,0.14179882407188416,-0.9226526021957397,1.4022438526153564,2.0017759799957275,-0.5107192397117615,0.022029502689838415,0.048580402135848993,-0.08399304151535034,-0.08454081267118455,1.0348640710115433,0.6532323241233826,0.7880261905491353,0.8354497060179711,-1.730663150548935,-1.1494390368461609,-0.9995560050010681,-1.6276798099279404,0.03366791082707599,-0.1601827716950736,0.0893564629467798,-0.05355006231253124,0.9479278765770276,0.7847029884328827,0.726345929047621,0.8077673154913612,-1.6465361666469285,-1.4793231164123277,-1.401456972383597,-1.6040172343346004,-0.7976236728660921,-0.4376866541044891,0.062038021826509256,0.825888895422293,4.484203464135414,-0.1357311254083661,-0.6955505781369249,-0.4445338265982905,-1.9719941073722227,0.4059160008149225,0.797991592052901,-0.6411056979607104,0.24234550650295542,0.1002196118259357,0.41559553791308346,0.020761515407591677,-0.032925756132327476,-0.9992421398545484,-0.004959482404602584,0.004117880883807418,0.05635304521729295,-0.0011309111194467238,1.9421445555574006e-05,0.32683745922567975,0.9996942487328242,0.01682035455469906,0.010826162856907642,0.014535436731144581
7,0.12000000000000004,0.021534079685807228,0.004334422759711742,0.08991512656211853,0.021586500108242035,-0.036232370883226395,-0.999110221862793,0.0,0.0,0.25,-0.08668200671672821,-0.06738924235105515,-0.007631364278495312,0.05782860890030861,0.22512005269527435,-0.017863204702734947,-0.08571226894855499,0.007899087853729725,-0.19169814884662628,0.03140322491526604,0.11284642666578293,-0.1176668331027031,-0.03995264694094658,-0.014616531319916248,0.010997750796377659,0.01907644048333168,0.14484043419361115,-0.00617453595623374,-0.027325496077537537,0.006545559503138065,-0.06229744106531143,0.02953183464705944,0.03288125619292259,-0.018685974180698395,-0.31188198924064636,0.594321608543396,-0.7359721660614014,0.06183674931526184,0.9394562840461731,-0.5870707035064697,-0.04789523780345917,0.14179882407188416,-0.9226526021957397,1.4022438526153564,2.0017759799957275,-0.5107192397117615,0.8890011310577393,-0.8890011310577393,-0.8890011310577393,0.8890011310577393,-0.004102404695004225,0.0014084875583648682,-0.34097498655319214,0.6196220517158508,-0.7825436592102051,0.04530027508735657,1.0756405591964722,-0.5609225034713745,-0.06733185052871704,0.20812562108039856,-1.0872093439102173,1.4524046182632446,2.026782512664795,-0.5660954713821411,0.014756253361701971,0.0549055129289627,-0.09563591480255126,-0.08867493122816086,1.068910139799118,0.6597693741321564,0.7831670373678208,0.8520314052700997,-1.7718023359775543,-1.1368988454341888,-0.9933043718338013,-1.6415238678455353,0.013317993680588641,-0.16738923992107468,0.09236863572161627,-0.04217139141547664,1.0251200535700264,0.7821367961147196,0.7142877277316785,0.8078990874822273,-1.691698148054765,-1.4685967753289695,-1.3871535762766558,-1.6176668316950549,-0.7990529168817518,-0.29233061862966636,0.2199550200083304,0.3815288122233768,2.896808676863225,-0.1234907236203293,-0.5465099081130581,0.13091118902735915,-1.245948808580882,0.5906366859701697,0.6576251280245247,-0.3737194850588621,0.10767039881919852,0.021672113702564555,0.44957562045259214,0.021586499555229774,-0.03623237006439808,-0.9991102233469893,-0.004102404765703434,0.0014084875863817606,0.05439587299705869,-0.0011886637101906836,3.997410292379521e-05,0.3279355155971671,0.9995942298562506,0.018092716708507636,0.01111103924260687,0.018988787405872735
8,0.14000000000000004,-0.004627568181604147,-0.013841445557773113,0.09442496299743652,0.020555298775434494,-0.03692931681871414,-0.9991064667701721,0.0,0.0,0.25,-0.10247332602739334,-0.07175494730472565,-0.001628719037398696,0.05911170691251755,0.2700384855270386,-0.019696418195962906,-0.09424102306365967,0.020973673090338707,-0.2350432574748993,0.04484613984823227,0.12358008325099945,-0.1309404969215393,-0.024193549528717995,-0.00757273705676198,0.018063081428408623,-0.00684984540566802,0.06955084204673767,-0.004187695682048798,-0.018104204908013344,0.03590364754199982,-0.06829956918954849,0.03568059951066971,0.023563429713249207,-0.01647184230387211,-0.34097498655319214,0.6196220517158508,-0.7825436592102051,0.04530027508735657,1.0756405591964722,-0.5609225034713745,-0.06733185052871704,0.20812562108039856,-1.0872093439102173,1.4524046182632446,2.026782512664795,-0.5660954713821411,0.9573497772216797,-0.9573497772216797,-0.9573497772216797,0.9573497772216797,-0.0018276741029694676,-0.0015161816263571382,-0.3573428988456726,0.6225176453590393,-0.8055942058563232,0.050021007657051086,1.1892164945602417,-0.553093671798706,-0.109656423330307,0.24823960661888123,-1.1841305494308472,1.4583497047424316,2.0295650959014893,-0.5717415809631348,0.010664275288581854,0.05562941133975982,-0.1013985514640808,-0.08749474808573723,1.0973041236400605,0.6617265820503235,0.7725858941674233,0.8620599016547204,-1.7960326373577118,-1.135412573814392,-0.9926087260246277,-1.6429353952407837,-0.002473322470186726,-0.17175494850090872,0.09837128096880517,-0.0408882923220872,1.0700384937946186,0.7803035824921494,0.7057589793011241,0.820973673191951,-1.7350432604569397,-1.455153859746559,-1.3764199152489511,-1.630940497746056,-0.4838710057471776,-0.15145474523094274,0.3612616323914414,-0.1369969105179871,1.3910168680169472,-0.08375391423327865,-0.36208408766355127,0.718072927660056,-1.3659913478612031,0.7136119838476305,0.47126857905281083,-0.32943685113491317,-0.02313784115538086,-0.06920722939146423,0.4721248082945878,0.020555298841851408,-0.036929318033602575,-0.9991064533667559,-0.0018276740718445453,-0.001516181623815241,0.04868769899321093,-0.0012169511358972773,4.097673876820012e-06,0.32893435274487515,0.9995009029969446,0.01809359415339732,0.010453607979394524,0.023691535178589213
9,0.16000000000000006,-0.029467158019542694,-0.024495093151926994,0.09440144151449203,0.018121883273124695,-0.035008322447538376,-0.9992226958274841,0.0,0.0,0.25,-0.11056692898273468,-0.07319941371679306,0.006961701903492212,0.05314309522509575,0.29019540548324585,-0.02093563601374626,-0.09964459389448166,0.03836021572351456,-0.2697947323322296,0.059626102447509766,0.13081155717372894,-0.1349903643131256,-0.010551033541560173,-0.001259819371625781,0.022966397926211357,-0.018977440893650055,0.0267347265034914,-0.002749588107690215,-0.010393456555902958,0.04224696755409241,-0.0560733787715435,0.0374227836728096,0.014434890821576118,-0.002982150064781308,-0.3573428988456726,0.6225176453590393,-0.8055942058563232,0.050021007657051086,1.1892164945602417,-0.553093671798706,-0.109656423330307,0.24823960661888123,-1.1841305494308472,1.4583497047424316,2.0295650959014893,-0.5717415809631348,0.9938918352127075,-0.9938918352127075,-0.9938918352127075,0.9938918352127075,0.0012852039653807878,-0.0037521396297961473,-0.36897775530815125,0.6075718402862549,-0.8039661645889282,0.049611903727054596,1.247806191444397,-0.563438355922699,-0.15046507120132446,0.2717474699020386,-1.221169352531433,1.4596565961837769,2.0248055458068848,-0.5606047511100769,0.007755561172962194,0.051892960071563715,-0.10099154114723205,-0.08759702406823636,1.1119515478610993,0.6591404110193253,0.7623837321996689,0.8679368674755097,-1.8052923381328583,-1.1350858509540558,-0.9937986135482788,-1.6401511877775192,-0.010566932527033392,-0.17319941421474494,0.10696170209596464,-0.04685690435805012,1.0901953967624858,0.7790643639942917,0.7003554087354236,0.8383602158316441,-1.76979474396978,-1.440373895943908,-1.3691884385947892,-1.634990363778931,-0.2110206694508358,-0.025196386518986313,0.4593279449000617,-0.379548809561946,0.5346945269795239,-0.05499175987257429,-0.20786913763952355,0.8449393334206158,-1.1214676095650393,0.7484556465256236,0.28869780742316564,-0.05964300201940022,-0.14733579104915595,-0.12247546184836651,0.47200722085584157,0.018121882549448194,-0.035008321854519076,-0.9992227052933675,0.0012852039145275357,-0.0037521395280672547,0.04117708359661322,-0.0011902714402319894,-8.51192742019982e-05,0.3298047209183442,0.9994119714963227,0.016846742826245206,0.009182387659935846,0.028417991534291795
10,0.18000000000000008,-0.04053180664777756,-0.025107815861701965,0.09175123274326324,0.015250743366777897,-0.031420379877090454,-0.9993898868560791,0.0,0.0,0.25,-0.1147761195898056,-0.07311411201953888,0.01661190204322338,0.04502995312213898,0.29767894744873047,-0.021778803318738937,-0.1033896878361702,0.053206365555524826,-0.29000791907310486,0.07399463653564453,0.13575170934200287,-0.1339457929134369,-0.007097672205418348,0.0011047676671296358,0.024682406336069107,-0.01939837634563446,0.009504507295787334,-0.0016964206006377935,-0.00892280787229538,0.03189793601632118,-0.03192941099405289,0.0345146469771862,0.011251113377511501,0.0034786644391715527,-0.36897775530815125,0.6075718402862549,-0.8039661645889282,0.049611903727054596,1.247806191444397,-0.563438355922699,-0.15046507120132446,0.2717474699020386,-1.221169352531433,1.4596565961837769,2.0248055458068848,-0.5606047511100769,0.9974132776260376,-0.9974132776260376,-0.9974132776260376,0.9974132776260376,0.003664605552330613,-0.004598364699631929,-0.3794623017311096,0.586112380027771,-0.7866288423538208,0.046897582709789276,1.2630778551101685,-0.5785001516342163,-0.16710667312145233,0.28003260493278503,-1.219003438949585,1.4561645984649658,2.0171313285827637,-0.540515661239624,0.005134424567222601,0.046528095006942743,-0.0966572105884552,-0.08827560432255269,1.1157694637775422,0.655374962091446,0.758223331719637,0.8700081512331963,-1.8047508597373962,-1.1359588503837585,-0.9957171678543091,-1.635128915309906,-0.014776121162892756,-0.17311411131200713,0.11661190169184645,-0.05497004624384385,1.0976789364578938,0.7782211957636941,0.6966103146468432,0.8532063664962671,-1.7900079205274508,-1.426005362251295,-1.364248290583968,-1.6339457881811326,-0.14195344696227388,0.02209535227260999,0.49364812565651395,-0.38796752433662474,0.19009014304091557,-0.03392841140704682,-0.1784561511764353,0.6379587359683753,-0.6385882571307813,0.690292961601203,0.2250222623132743,0.06957328815254282,-0.20265903251002584,-0.1255390791807364,0.45875616831907,0.015250742923203858,-0.03142038067941619,-0.9993899011488222,0.0036646056241621356,-0.004598364746765378,0.03229668859287838,-0.0011160862839615874,-0.0001864841174984087,0.33051410086400385,0.9993125778029502,0.014952688005510478,0.007791080281110549,0.03301648125234639
